"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"2","01M292","Henry Street School for International Studies",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"3","01M448","University Neighborhood High School",NA,"0.133","1",NA,"0.133","1",NA,"0.12",NA,"0.133"
"4","01M450","East Side Community School","19","0.216","1","19","0.216","1","20","0.216","20","0.216"
"5","01M509","Marta Valle High School",NA,"0.04","1",NA,"0.04","0",NA,"0.02",NA,"0.04"
"6","01M539","New Explorations into Science, Technology and Math","27","0.262","1","27","0.262","1","28","0.254","26","0.262"
"7","01M696","Bard High School Early College","27","0.357","1","29","0.357","1","26","0.227","27","0.357"
"8","02M047","47 The American Sign Language and English Secondar",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"9","02M135","The Urban Assembly School for Emergency Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","02M139","Stephen T. Mather Building Arts & Craftsmanship Hi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","02M280","Manhattan Early College School for Advertising",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","02M282","Urban Assembly Maker Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","02M288","Food and Finance High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"14","02M294","Essex Street Academy",NA,"0.022","0",NA,"0.022","0",NA,"0.022",NA,"0.022"
"15","02M296","High School of Hospitality Management",NA,"0.048","1",NA,"0.048","1",NA,"0.038",NA,"0.048"
"16","02M298","Pace High School","17","0.633","1","16","0.633","1","15","0.367","17","0.633"
"17","02M300","Urban Assembly School of Design and Construction,",NA,"0.018","0",NA,"0.018","0",NA,"0.009",NA,"0.018"
"18","02M303","Facing History School, The",NA,"0.052","1",NA,"0.052","1",NA,"0.042",NA,"0.052"
"19","02M305","Urban Assembly Academy of Government and Law, The",NA,"0.038","1",NA,"0.038","1",NA,"0.038",NA,"0.038"
"20","02M308","Lower Manhattan Arts Academy",NA,"0.128","1",NA,"0.128","1",NA,"0.128",NA,"0.128"
"21","02M316","Urban Assembly School of Business for Young Women,",NA,"0.053","0",NA,"0.053","1",NA,"0.039",NA,"0.053"
"22","02M374","Gramercy Arts High School","18","0.133","1","17","0.133","1",NA,"0.097","18","0.133"
"23","02M376","NYC iSchool","23","0.29","1","22","0.29","1","22","0.2","22","0.29"
"24","02M392","MANHATTAN BUSINESS ACADEMY",NA,"0.02","0",NA,"0.02","0",NA,"0.01",NA,"0.02"
"25","02M393","BUSINESS OF SPORTS SCHOOL",NA,"0.169","1",NA,"0.169","1",NA,"0.169",NA,"0.169"
"26","02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",NA,"0.071","1",NA,"0.071","1",NA,"0.071",NA,"0.071"
"27","02M400","High School for Environmental Studies","22","0.159","1","20","0.159","1","22","0.156","21","0.159"
"28","02M407","Institute for Collaborative Education","20","0.271","1","23","0.271","1",NA,"0.143","21","0.271"
"29","02M408","Professional Performing Arts High School","21","0.299","1","23","0.299","1","23","0.216","22","0.299"
"30","02M411","Baruch College Campus High School","26","0.276","1","23","0.276","1","24","0.219","23","0.276"
"31","02M412","N.Y.C. Lab School for Collaborative Studies","25","0.411","1","23","0.411","1","23","0.313","23","0.411"
"32","02M413","School of the Future High School","22","0.169","1","22","0.169","1",NA,"0.112","22","0.169"
"33","02M414","N.Y.C. Museum School","24","0.182","1","22","0.182","1","24","0.173","23","0.182"
"34","02M416","Eleanor Roosevelt High School","29","0.225","1","29","0.225","1","27","0.132","28","0.225"
"35","02M418","Millennium High School","26","0.417","1","25","0.417","1","26","0.265","25","0.417"
"36","02M419","Landmark High School",NA,"0.051","0",NA,"0.051","1",NA,"0.031",NA,"0.051"
"37","02M420","High School for Health Professions and Human Servi","21","0.076","1","19","0.076","1","21","0.067","21","0.076"
"38","02M422","Quest to Learn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","02M425","Leadership and Public Service High School","19","0.093","1","18","0.093","1",NA,"0.037","19","0.093"
"40","02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"41","02M429","Legacy School for Integrated Studies",NA,"0.05","0",NA,"0.05","0",NA,"0.05",NA,"0.05"
"42","02M437","Hudson High School of Learning Technologies",NA,"0.026","1",NA,"0.026","1",NA,"0.026",NA,"0.026"
"43","02M438","International High School at Union Square",NA,"0.089","1",NA,"0.089","0",NA,"0.076",NA,"0.089"
"44","02M439","Manhattan Village Academy",NA,"0.173","1",NA,"0.173","1",NA,"0.074",NA,"0.173"
"45","02M449","Vanguard High School",NA,"0.069","1",NA,"0.069","1",NA,"0.069",NA,"0.069"
"46","02M459","Manhattan International High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"47","02M460","Washington Irving High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"48","02M475","Stuyvesant High School","34","0.439","1","32","0.439","1","31","0.329","31","0.439"
"49","02M489","High School of Economics and Finance","20","0.256","1","17","0.256","1","18","0.141","19","0.256"
"50","02M500","Unity Center for Urban Technologies",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"51","02M507","Urban Assembly Gateway School for Technology",NA,"0.009","1",NA,"0.009","1",NA,"0.009",NA,"0.009"
"52","02M519","Talent Unlimited High School","21","0.214","1","21","0.214","1","23","0.179","19","0.214"
"53","02M520","Murry Bergtraum High School for Business Careers",NA,"0.025","1",NA,"0.025","1",NA,"0.025",NA,"0.025"
"54","02M529","Jacqueline Kennedy Onassis High School","17","0.21","1","17","0.21","1","19","0.177","18","0.21"
"55","02M531","Repertory Company High School for Theatre Arts",NA,"0.07","0",NA,"0.07","0",NA,"0.07",NA,"0.07"
"56","02M533","Union Square Academy for Health Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","02M534","Harvest Collegiate High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","02M542","Manhattan Bridges High School",NA,"0.025","1",NA,"0.025","1",NA,"0.016",NA,"0.025"
"59","02M543","New Design High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"60","02M545","High School for Dual Language and Asian Studies",NA,"0.113","1",NA,"0.113","1",NA,"0.082",NA,"0.113"
"61","02M546","Academy for Software Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","02M551","Urban Assembly New York Harbor School","21","0.231","1","21","0.231","1","23","0.144","23","0.231"
"63","02M580","Richard R. Green High School of Teaching","18","0.136","1","16","0.136","1","19","0.12","17","0.136"
"64","02M600","The High School of Fashion Industries","18","0.102","1","17","0.102","1","19","0.091","18","0.102"
"65","02M615","Chelsea Career and Technical Education High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"66","02M625","High School of Graphic Communication Arts",NA,"0.006","0",NA,"0.006","0",NA,"0",NA,"0.006"
"67","02M630","Art and Design High School","21","0.057","1","21","0.057","1",NA,"0.041","20","0.057"
"68","02M655","Life Sciences Secondary School","17","0.104","0","16","0.104","1",NA,"0.091","18","0.104"
"69","03M283","Manhattan Theatre Lab High School",NA,"0.076","1",NA,"0.076","0",NA,"0.061",NA,"0.076"
"70","03M299","High School for Arts, Imagination and Inquiry",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"71","03M307","Urban Assembly School for Media Studies, The",NA,"0.02","0",NA,"0.02","0",NA,"0.02",NA,"0.02"
"72","03M402","The Urban Assembly School for Green Careers",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"73","03M403","The Global Learning Collaborative",NA,"0.055","1",NA,"0.055","1",NA,"0.039",NA,"0.055"
"74","03M415","Wadleigh Secondary School for the Performing & Vis",NA,"0.07","0",NA,"0.07","0",NA,"0.026",NA,"0.07"
"75","03M417","FRANK McCOURT HIGH SCHOOL","22","0.158","1","23","0.158","1",NA,"0.129","23","0.158"
"76","03M479","Beacon High School","25","0.391","1","27","0.391","1","27","0.276","25","0.391"
"77","03M485","Fiorello H. LaGuardia High School of Music & Art a","26","0.287","1","27","0.287","1","27","0.218","25","0.287"
"78","03M492","High School for Law, Advocacy and Community Justic",NA,"0.114","1",NA,"0.114","1",NA,"0.114",NA,"0.114"
"79","03M494","High School of Arts and Technology",NA,"0.013","0",NA,"0.013","1",NA,"0.007",NA,"0.013"
"80","03M541","Manhattan / Hunter Science High School","25","0.224","1","22","0.224","1","22","0.196","22","0.224"
"81","03M859","Special Music School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","03M860","Frederick Douglass Academy II Secondary School","16","0.217","1","14","0.217","1",NA,"0.116","16","0.217"
"83","04M372","ESPERANZA PREPARATORY ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","04M409","Coalition School for Social Change",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"85","04M435","Manhattan Center for Science and Mathematics","23","0.198","1","20","0.198","1","22","0.146","21","0.198"
"86","04M495","Park East High School","19","0.198","1","17","0.198","1",NA,"0.104","19","0.198"
"87","04M555","Central Park East High School",NA,"0.031","1",NA,"0.031","1",NA,"0.021",NA,"0.031"
"88","04M610","Young Women's Leadership School",NA,"0.155","1",NA,"0.155","1",NA,"0.099",NA,"0.155"
"89","04M680","Heritage School, The",NA,"0.025","0",NA,"0.025","0",NA,"0.025",NA,"0.025"
"90","05M157","The Urban Assembly School for Global Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","05M304","Mott Hall High School","16","0.155","1","14","0.155","1",NA,"0.01","17","0.155"
"92","05M362","Columbia Secondary School","27","0.224","1","26","0.224","1",NA,"0.153","26","0.224"
"93","05M367","Academy for Social Action: A College Board School",NA,"0.06","0",NA,"0.06","0",NA,"0.04",NA,"0.06"
"94","05M369","Urban Assembly School for the Performing Arts","17","0.178","1","17","0.178","1","16","0.178","15","0.178"
"95","05M469","Choir Academy of Harlem",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"96","05M499","Frederick Douglass Academy","19","0.183","1","17","0.183","1","19","0.149","19","0.183"
"97","05M670","Thurgood Marshall Academy for Learning and Social","19","0.282","1","16","0.282","1",NA,"0.118","19","0.282"
"98","05M685","Bread & Roses Integrated Arts High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"99","05M692","High School for Mathematics, Science and Engineeri","31","0.379","1","27","0.379","1","29","0.326","29","0.379"
"100","06M211","Inwood Early College for Health and Information Te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","06M293","City College Academy of the Arts","23","0.395","1","21","0.395","1",NA,"0.047","21","0.395"
"102","06M346","Community Health Academy of the Heights","16","0.25","1","12","0.25","1","16","0.25","15","0.25"
"103","06M348","Washington Heights Expeditionary Learning School",NA,"0.026","1",NA,"0.026","1",NA,"0.026",NA,"0.026"
"104","06M462","The College Academy",NA,"0.044","0",NA,"0.044","0",NA,"0.044",NA,"0.044"
"105","06M463","High School for Media and Communications",NA,"0.035","0",NA,"0.035","1",NA,"0.035",NA,"0.035"
"106","06M467","High School for Law and Public Service",NA,"0.075","1",NA,"0.075","1",NA,"0.059",NA,"0.075"
"107","06M468","High School for Health Careers and Sciences",NA,"0.023","0",NA,"0.023","0",NA,"0.023",NA,"0.023"
"108","06M540","A. Philip Randolph Campus High School","18","0.206","1","16","0.206","1",NA,"0.054","18","0.206"
"109","06M552","Gregorio Luperon High School for Science and Mathe",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"110","07X221","South Bronx Preparatory: A College Board School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"111","07X223","M.S. 223 The Laboratory School of Finance and Tech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","07X259","H.E.R.O. High (Health, Education, and Research Occ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","07X334","International Community High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"114","07X427","Community School for Social Justice",NA,"0.137","0",NA,"0.137","0",NA,"0.137",NA,"0.137"
"115","07X473","Mott Haven Village Preparatory High School",NA,"0.022","0",NA,"0.022","0",NA,"0.022",NA,"0.022"
"116","07X495","University Heights Secondary School","18","0.191","1","18","0.191","1","20","0.165","19","0.191"
"117","07X500","Hostos-Lincoln Academy of Science",NA,"0.04","1",NA,"0.04","1",NA,"0.04",NA,"0.04"
"118","07X520","Foreign Language Academy of Global Studies",NA,"0.07","0",NA,"0.07","0",NA,"0.07",NA,"0.07"
"119","07X522","Bronx Design and Construction Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"120","07X527","Bronx Leadership Academy II High School","17","0.54","1","13","0.54","1","14","0.395","16","0.516"
"121","07X547","New Explorers High School",NA,"0.016","1",NA,"0.016","0",NA,"0.016",NA,"0.016"
"122","07X548","Urban Assembly School for Careers in Sports",NA,"0.007","0",NA,"0.007","0",NA,"0.007",NA,"0.007"
"123","07X551","The Urban Assembly Bronx Academy of Letters",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"124","07X600","Alfred E. Smith Career and Technical Education Hig",NA,"0.035","1",NA,"0.035","0",NA,"0.035",NA,"0.035"
"125","07X655","Samuel Gompers Career and Technical Education High",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"126","07X670","Health Opportunities High School",NA,"0.045","1",NA,"0.045","1",NA,"0.045",NA,"0.045"
"127","08X269","Bronx Studio School for Writers and Artists",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"128","08X282","Women's Academy of Excellence",NA,"0.032","0",NA,"0.032","0",NA,"0.032",NA,"0.032"
"129","08X293","Renaissance High School for Musical Theater & Tech",NA,"0.008","0",NA,"0.008","1",NA,"0",NA,"0.008"
"130","08X295","Gateway School for Environmental Research and Tech",NA,"0.019","0",NA,"0.019","0",NA,"0.019",NA,"0.019"
"131","08X305","Pablo Neruda Academy",NA,"0.07","1",NA,"0.07","0",NA,"0.07",NA,"0.07"
"132","08X312","Millennium Art Academy",NA,"0.046","1",NA,"0.046","1",NA,"0.046",NA,"0.046"
"133","08X320","Pelham Lab High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","08X332","Holcombe L. Rucker School of Community Research",NA,"0.103","0",NA,"0.103","0",NA,"0.103",NA,"0.103"
"135","08X348","Schuylerville Preparatory High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","08X349","Bronx River High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","08X367","Archimedes Academy for Math, Science and Technolog",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"138","08X376","Antonia Pantoja Preparatory Academy: A College Boa","19","0.261","1","16","0.261","1","18","0.261","19","0.261"
"139","08X405","Herbert H. Lehman High School","19","0.035","1","18","0.035","1","18","0.032","18","0.035"
"140","08X432","BRONX BRIDGES HIGH SCHOOL","15","0.663","1","12","0.663","1","14","0.535","16","0.663"
"141","08X452","Bronx Guild",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"142","08X519","Felisa Rincon de Gautier Institute for Law and Pub",NA,"0.021","0",NA,"0.021","0",NA,"0.021",NA,"0.021"
"143","08X530","Banana Kelly High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"144","08X558","Westchester Square Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","08X559","School for Tourism and Hospitality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","08X561","Bronx Compass High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","08X650","Jane Addams High School for Academic Careers",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"148","09X227","Bronx Collegiate Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"149","09X231","Eagle Academy for Young Men",NA,"0.01","0",NA,"0.01","0",NA,"0.01",NA,"0.01"
"150","09X241","Urban Assembly School for Applied Math and Science",NA,"0.122","1",NA,"0.122","1",NA,"0.049",NA,"0.122"
"151","09X250","Eximius College Preparatory Academy: A College Boa","19","0.226","1","18","0.226","1","19","0.226","19","0.226"
"152","09X252","Mott Hall Bronx High School","17","0.714","1","15","0.714","1","16","0.451","17","0.714"
"153","09X260","Bronx Center for Science and Mathematics","26","0.171","1","23","0.171","1",NA,"0.036","22","0.171"
"154","09X263","Validus Preparatory Academy: An Expeditionary Lear",NA,"0.051","0",NA,"0.051","1",NA,"0.051",NA,"0.051"
"155","09X276","Leadership Institute",NA,"0.02","0",NA,"0.02","0",NA,"0",NA,"0.02"
"156","09X297","Morris Academy for Collaborative Studies",NA,"0.014","0",NA,"0.014","0",NA,"0.014",NA,"0.014"
"157","09X324","Bronx Early College Academy for Teaching & Learnin",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"158","09X327","Comprehensive Model School Project M.S. 327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","09X329","DreamYard Preparatory School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"160","09X365","Academy for Language and Technology",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"161","09X403","Bronx International High School",NA,"0.061","0",NA,"0.061","0",NA,"0.026",NA,"0.061"
"162","09X404","School for Excellence",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"163","09X412","Bronx High School of Business",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
"164","09X413","Bronx High School for Medical Science","19","0.253","1","16","0.253","1",NA,"0.149","17","0.253"
"165","09X414","Jonathan Levin High School for Media and Communica",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"166","09X505","Bronx School for Law, Government and Justice",NA,"0.055","1",NA,"0.055","1",NA,"0.055",NA,"0.055"
"167","09X517","Frederick Douglass Academy III Secondary School",NA,"0.045","0",NA,"0.045","0",NA,"0.045",NA,"0.045"
"168","09X525","Bronx Leadership Academy High School",NA,"0.006","0",NA,"0.006","0",NA,"0.006",NA,"0.006"
"169","09X543","High School for Violin and Dance",NA,"0.063","1",NA,"0.063","1",NA,"0.045",NA,"0.063"
"170","09X564","Claremont International HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","10X141","Riverdale / Kingsbridge Academy (Middle School / H","23","0.138","1","22","0.138","1","21","0.106","23","0.138"
"172","10X213","Bronx Engineering and Technology Academy",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
"173","10X225","Theatre Arts Production Company School",NA,"0.043","0",NA,"0.043","0",NA,"0.043",NA,"0.043"
"174","10X237","The Marie Curie School for Medicine, Nursing, and",NA,"0.036","1",NA,"0.036","1",NA,"0.036",NA,"0.036"
"175","10X243","West Bronx Academy for the Future",NA,"0.085","1",NA,"0.085","1",NA,"0.085",NA,"0.085"
"176","10X264","Bronx Academy for Software Engineering (BASE)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","10X268","Kingsbridge International High School",NA,"0.027","0",NA,"0.027","0",NA,"0.014",NA,"0.027"
"178","10X284","Bronx School of Law and Finance",NA,"0.008","0",NA,"0.008","0",NA,"0.008",NA,"0.008"
"179","10X342","International School for Liberal Arts",NA,"0.087","1",NA,"0.087","0",NA,"0.029",NA,"0.087"
"180","10X351","Bronx Collaborative High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","10X353","World View High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","10X368","In-Tech Academy (M.S. / High School 368)",NA,"0.007","1",NA,"0.007","1",NA,"0.007",NA,"0.007"
"183","10X374","Knowledge and Power Preparatory Academy Internatio",NA,"0.054","1",NA,"0.054","1",NA,"0.054",NA,"0.054"
"184","10X433","High School for Teaching and the Professions",NA,"0.009","1",NA,"0.009","1",NA,"0",NA,"0.009"
"185","10X434","Belmont Preparatory High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"186","10X437","Fordham High School for the Arts",NA,"0.045","1",NA,"0.045","1",NA,"0.022",NA,"0.045"
"187","10X438","Fordham Leadership Academy for Business and Techno",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"188","10X439","Bronx High School for Law and Community Service",NA,"0.136","1",NA,"0.136","1",NA,"0.136",NA,"0.136"
"189","10X440","DeWitt Clinton High School","21","0.03","1","17","0.03","1","18","0.028","19","0.03"
"190","10X442","Celia Cruz Bronx High School of Music, The",NA,"0.022","0",NA,"0.022","1",NA,"0.022",NA,"0.022"
"191","10X445","Bronx High School of Science","31","0.63","1","30","0.63","1","30","0.472","30","0.63"
"192","10X477","Marble Hill High School for International Studies",NA,"0.027","0",NA,"0.027","0",NA,"0.027",NA,"0.027"
"193","10X524","Crotona International High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"194","10X546","Bronx Theatre High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"195","10X549","Discovery High School",NA,"0.007","1",NA,"0.007","1",NA,"0.007",NA,"0.007"
"196","10X565","High School for Energy and Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","10X660","Grace Dodge Career and Technical Education High Sc",NA,"0.014","0",NA,"0.014","0",NA,"0.007",NA,"0.014"
"198","10X696","High School of American Studies at Lehman College","30","0.485","1","31","0.485","1","30","0.309","29","0.485"
"199","11X249","Bronx Health Sciences High School","17","0.776","1","14","0.776","1",NA,"0.106","17","0.776"
"200","11X253","Bronx High School for Writing and Communication Ar",NA,"0.027","0",NA,"0.027","1",NA,"0.027",NA,"0.027"
"201","11X265","Bronx Lab School",NA,"0.048","1",NA,"0.048","1",NA,"0.048",NA,"0.048"
"202","11X270","Academy for Scholarship and Entrepreneurship: A Co",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"203","11X275","High School of Computers and Technology",NA,"0.055","1",NA,"0.055","1",NA,"0.055",NA,"0.055"
"204","11X288","Collegiate Institute for Math and Science",NA,"0.08","1",NA,"0.08","1",NA,"0.067",NA,"0.08"
"205","11X290","Bronx Academy of Health Careers","17","0.165","1","14","0.165","1","16","0.135","15","0.165"
"206","11X299","Astor Collegiate Academy",NA,"0.063","1",NA,"0.063","1",NA,"0.056",NA,"0.063"
"207","11X418","Bronx High School for the Visual Arts",NA,"0.017","0",NA,"0.017","0",NA,"0.017",NA,"0.017"
"208","11X455","Harry S Truman High School","18","0.038","1","16","0.038","1",NA,"0.026","18","0.038"
"209","11X508","Bronxdale High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"210","11X509","High School of Language and Innovation",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"211","11X513","New World High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"212","11X514","The Bronxwood Preparatory Academy",NA,"0.058","1",NA,"0.058","0",NA,"0.05",NA,"0.058"
"213","11X542","Pelham Preparatory Academy",NA,"0.053","0",NA,"0.053","1",NA,"0.035",NA,"0.053"
"214","11X544","High School for Contemporary Arts",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"215","11X545","Bronx Aerospace High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"216","12X242","Mott Hall V",NA,"0.013","0",NA,"0.013","1",NA,"0.013",NA,"0.013"
"217","12X248","Metropolitan High School, The",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
"218","12X251","Explorations Academy",NA,"0.043","0",NA,"0.043","0",NA,"0.032",NA,"0.043"
"219","12X267","Bronx Latin",NA,"0.069","0",NA,"0.069","0",NA,"0.052",NA,"0.069"
"220","12X271","East Bronx Academy for the Future",NA,"0.042","0",NA,"0.042","0",NA,"0.042",NA,"0.042"
"221","12X278","Peace and Diversity Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"222","12X372","Urban Assembly School for Wildlife Conservation",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"223","12X388","Pan American International High School at Monroe","15","0.3","0","11","0.3","0","13","0.3","15","0.3"
"224","12X478","THE CINEMA SCHOOL",NA,"0.064","0",NA,"0.064","1",NA,"0.053",NA,"0.064"
"225","12X479","Bronx Career and College Preparatory High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"226","12X511","Bronx Envision Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"227","12X521","The Metropolitan Soundview High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"228","12X550","High School of World Cultures",NA,"0.059","1",NA,"0.059","1",NA,"0.059",NA,"0.059"
"229","12X682","Fannie Lou Hamer Freedom High School",NA,"0.028","0",NA,"0.028","1",NA,"0.028",NA,"0.028"
"230","12X684","Wings Academy",NA,"0.017","0",NA,"0.017","0",NA,"0.017",NA,"0.017"
"231","12X692","Monroe Academy for Visual Arts & Design",NA,"0.037","1",NA,"0.037","0",NA,"0.018",NA,"0.037"
"232","13K265","Dr. Susan S. McKinney Secondary School of the Arts",NA,"0.043","0",NA,"0.043","0",NA,"0.043",NA,"0.043"
"233","13K350","Urban Assembly High School of Music and Art",NA,"0.01","0",NA,"0.01","0",NA,"0.01",NA,"0.01"
"234","13K412","Brooklyn Community High School of Communication, A",NA,"0.017","0",NA,"0.017","0",NA,"0.017",NA,"0.017"
"235","13K419","Science Skills Center High School for Science, Tec",NA,"0.066","0",NA,"0.066","1",NA,"0.044",NA,"0.066"
"236","13K430","Brooklyn Technical High School","30","0.412","1","28","0.412","1","28","0.339","27","0.412"
"237","13K439","Brooklyn International High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"238","13K483","The Urban Assembly School for Law and Justice",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"239","13K499","ACORN Community High School","15","0.107","0","15","0.107","1","16","0.107","15","0.107"
"240","13K527","Urban Assembly Institute of Math and Science for Y",NA,"0.027","1",NA,"0.027","1",NA,"0.027",NA,"0.027"
"241","13K595","Bedford Academy High School",NA,"0.152","1",NA,"0.152","1",NA,"0.152",NA,"0.152"
"242","13K605","George Westinghouse Career and Technical Education",NA,"0.019","0",NA,"0.019","0",NA,"0.013",NA,"0.019"
"243","13K670","Benjamin Banneker Academy","21","0.215","1","20","0.215","1","21","0.215","20","0.215"
"244","13K674","City Polytechnic High School of Engineering, Archi",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
