"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"245","14K071","Juan Morel Campos Secondary School",NA,"0.069","0",NA,"0.069","0",NA,"0.069",NA,"0.069"
"246","14K322","Foundations Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"247","14K449","Brooklyn Latin School, The","26","0.373","1","24","0.373","1","26","0.209","25","0.373"
"248","14K454","Green School: An Academy for Environmental Careers",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"249","14K474","PROGRESS High School for Professional Careers",NA,"0.014","0",NA,"0.014","0",NA,"0.007",NA,"0.014"
"250","14K477","School for Legal Studies",NA,"0.006","0",NA,"0.006","0",NA,"0.006",NA,"0.006"
"251","14K478","The High School for Enterprise, Business and Techn",NA,"0.019","1",NA,"0.019","1",NA,"0.015",NA,"0.019"
"252","14K488","Brooklyn Preparatory High School",NA,"0.091","1",NA,"0.091","1",NA,"0.091",NA,"0.091"
"253","14K558","Williamsburg High School for Architecture and Desi",NA,"0.02","1",NA,"0.02","0",NA,"0.014",NA,"0.02"
"254","14K561","Williamsburg Preparatory School","20","0.215","1","18","0.215","1","20","0.116","19","0.215"
"255","14K586","Lyons Community School",NA,"0.099","0",NA,"0.099","1",NA,"0.099",NA,"0.099"
"256","14K610","Automotive High School",NA,"0.01","0",NA,"0.01","0",NA,"0",NA,"0.01"
"257","14K614","Young Women's Leadership School of Brooklyn",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"258","14K632","Frances Perkins Academy",NA,"0.341","1",NA,"0.341","1",NA,"0.171",NA,"0.341"
"259","14K685","El Puente Academy for Peace and Justice",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"260","15K429","Brooklyn School for Global Studies",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"261","15K448","Brooklyn Secondary School for Collaborative Studie",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
"262","15K462","Secondary School for Law",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"263","15K463","Secondary School for Journalism",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"264","15K464","Park Slope Collegiate",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"265","15K497","School for International Studies",NA,"0.143","1",NA,"0.143","1",NA,"0.032",NA,"0.143"
"266","15K519","Cobble Hill School of American Studies",NA,"0.021","1",NA,"0.021","1",NA,"0.014",NA,"0.021"
"267","15K592","Khalil Gibran International Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","15K656","Brooklyn High School of the Arts",NA,"0.065","1",NA,"0.065","1",NA,"0.048",NA,"0.065"
"269","15K667","Sunset Park High School",NA,"0.003","1",NA,"0.003","0",NA,"0.003",NA,"0.003"
"270","15K684","Millennium Brooklyn HS",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"271","16K393","Frederick Douglass Academy IV Secondary School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"272","16K455","Boys and Girls High School",NA,"0.021","1",NA,"0.021","1",NA,"0.021",NA,"0.021"
"273","16K498","Brooklyn High School for Law and Technology","17","0.182","1","15","0.182","1","16","0.173","18","0.182"
"274","16K594","Gotham Professional Arts Academy",NA,"0.013","0",NA,"0.013","0",NA,"0.013",NA,"0.013"
"275","16K688","The Brooklyn Academy of Global Finance",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"276","16K765","Nelson Mandela High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","17K122","Pathways in Technology Early College High School (",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"278","17K382","Academy for College Preparation and Career Explora",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"279","17K408","Academy of Hospitality and Tourism",NA,"0.114","0",NA,"0.114","0",NA,"0.038",NA,"0.114"
"280","17K524","International High School at Prospect Heights","17","0.183","1","13","0.183","0","14","0.173","17","0.183"
"281","17K528","The High School for Global Citizenship",NA,"0.016","0",NA,"0.016","1",NA,"0.016",NA,"0.016"
"282","17K531","School for Human Rights, The",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"283","17K533","School for Democracy and  Leadership",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"284","17K537","High School for Youth and Community Development at",NA,"0.042","0",NA,"0.042","1",NA,"0.042",NA,"0.042"
"285","17K539","High School for Service & Learning at Erasmus",NA,"0.025","0",NA,"0.025","0",NA,"0.025",NA,"0.025"
"286","17K543","Science, Technology and Research Early College Hig",NA,"0.07","1",NA,"0.07","1",NA,"0.07",NA,"0.07"
"287","17K544","International Arts Business School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"288","17K546","High School for Public Service: Heroes  of Tomorro",NA,"0.13","1",NA,"0.13","1",NA,"0.111",NA,"0.13"
"289","17K547","Brooklyn Academy of Science and the Environment",NA,"0.007","1",NA,"0.007","0",NA,"0.007",NA,"0.007"
"290","17K548","Brooklyn School for Music & Theatre",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"291","17K590","Medgar Evers College Preparatory School",NA,"0.059","1",NA,"0.059","1",NA,"0.046",NA,"0.059"
"292","17K600","Clara Barton High School","19","0.072","1","18","0.072","1","19","0.063","18","0.072"
"293","17K745","Brooklyn Institute for Liberal Arts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","17K751","Academy for Health Careers",NA,"0.012","1",NA,"0.012","0",NA,"0.012",NA,"0.012"
"295","18K563","It Takes a Village Academy","16","0.185","1","13","0.185","1","15","0.168","15","0.185"
"296","18K566","Brooklyn Generation School",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"297","18K567","Brooklyn Theatre Arts High School",NA,"0.149","1",NA,"0.149","1",NA,"0.085",NA,"0.149"
"298","18K569","Kurt Hahn Expeditionary Learning School",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"299","18K576","Victory Collegiate High School",NA,"0.026","0",NA,"0.026","0",NA,"0.026",NA,"0.026"
"300","18K589","Arts & Media Preparatory Academy",NA,"0.049","1",NA,"0.049","1",NA,"0.049",NA,"0.049"
"301","18K617","High School for Innovation in Advertising and Medi",NA,"0.136","1",NA,"0.136","1",NA,"0.136",NA,"0.136"
"302","18K629","Cultural Academy for the Arts and Sciences",NA,"0.04","1",NA,"0.04","1",NA,"0.04",NA,"0.04"
"303","18K633","High School for Medical Professions",NA,"0.019","1",NA,"0.019","1",NA,"0.01",NA,"0.019"
"304","18K637","Academy for Conservation and the Environment",NA,"0.079","0",NA,"0.079","1",NA,"0.079",NA,"0.079"
"305","18K642","Urban Action Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"306","19K404","Academy for Young Writers",NA,"0.024","0",NA,"0.024","1",NA,"0.012",NA,"0.024"
"307","19K409","East New York Family Academy",NA,"0.087","1",NA,"0.087","1",NA,"0.087",NA,"0.087"
"308","19K502","FDNY High School for Fire and Life Safety",NA,"0.169","0",NA,"0.169","0",NA,"0.092",NA,"0.169"
"309","19K504","High School for Civil Rights",NA,"0.009","1",NA,"0.009","1",NA,"0.009",NA,"0.009"
"310","19K507","Performing Arts and Technology High School",NA,"0.009","1",NA,"0.009","1",NA,"0.009",NA,"0.009"
"311","19K510","World Academy for Total Community Health High Scho",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"312","19K583","Multicultural High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"313","19K615","Transit Tech Career and Technical Education High S",NA,"0.017","1",NA,"0.017","1",NA,"0.017",NA,"0.017"
"314","19K618","Academy of Innovative Technology",NA,"0.043","1",NA,"0.043","1",NA,"0.043",NA,"0.043"
"315","19K639","Brooklyn Lab School",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
"316","19K659","Cypress Hills Collegiate Preparatory School",NA,"0.01","0",NA,"0.01","0",NA,"0.01",NA,"0.01"
"317","19K660","W. H. Maxwell Career and Technical Education High",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"318","19K683","The School for Classics: An Academy of Thinkers, W",NA,"0.139","0",NA,"0.139","1",NA,"0.056",NA,"0.139"
"319","19K764","The Urban Assembly School for Collaborative Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","20K445","New Utrecht High School","22","0.06","1","17","0.06","1","18","0.051","19","0.06"
"321","20K485","High School of  Telecommunication Arts and Technol","23","0.149","1","19","0.149","1","20","0.105","21","0.149"
"322","20K490","Fort Hamilton High School","24","0.137","1","21","0.137","1","23","0.102","22","0.137"
"323","20K505","Franklin Delano Roosevelt High School","26","0.023","1","20","0.023","1","19","0.021","24","0.023"
"324","20K609","Urban Assembly School for Criminal Justice",NA,"0.119","1",NA,"0.119","1",NA,"0.09",NA,"0.119"
"325","21K337","International High School at Lafayette",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"326","21K344","Rachel Carson High School for Coastal Studies",NA,"0.013","1",NA,"0.013","1",NA,"0.013",NA,"0.013"
"327","21K348","High School of Sports Management",NA,"0.034","0",NA,"0.034","0",NA,"0.022",NA,"0.034"
"328","21K410","Abraham Lincoln High School","22","0.035","1","19","0.035","1","20","0.034","22","0.035"
"329","21K468","Kingsborough Early College School",NA,"0.025","1",NA,"0.025","1",NA,"0.013",NA,"0.025"
"330","21K525","Edward R. Murrow High School","22","0.21","1","21","0.21","1","22","0.173","21","0.21"
"331","21K540","John Dewey High School",NA,"0.025","1",NA,"0.025","1",NA,"0.025",NA,"0.025"
"332","21K559","Life Academy High School for Film and Music",NA,"0.018","0",NA,"0.018","1",NA,"0.018",NA,"0.018"
"333","21K572","Expeditionary Learning School for Community Leader",NA,"0.029","0",NA,"0.029","0",NA,"0.029",NA,"0.029"
"334","21K620","William E. Grady Career and Technical Education Hi",NA,"0.025","1",NA,"0.025","1",NA,"0.025",NA,"0.025"
"335","21K690","Brooklyn Studio Secondary School","21","0.099","1","21","0.099","1",NA,"0.086","21","0.099"
"336","22K405","Midwood High School","25","0.158","1","23","0.158","1","24","0.143","23","0.158"
"337","22K425","James Madison High School","22","0.143","1","18","0.143","1","19","0.128","21","0.143"
"338","22K495","Sheepshead Bay High School","16","0.126","1","13","0.126","1",NA,"0","17","0.126"
"339","22K535","Leon M. Goldstein High School for the Sciences","24","0.21","1","23","0.21","1","23","0.135","23","0.21"
"340","22K555","Brooklyn College Academy",NA,"0.065","1",NA,"0.065","1",NA,"0.052",NA,"0.065"
"341","22K611","Origins High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","23K493","Brooklyn Collegiate: A College Board School",NA,"0.069","1",NA,"0.069","1",NA,"0.046",NA,"0.069"
"343","23K514","Frederick Douglass Academy VII High School",NA,"0.049","0",NA,"0.049","0",NA,"0.049",NA,"0.049"
"344","23K644","Eagle Academy for Young Men II",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"345","23K697","Teachers Preparatory High School",NA,"0.048","1",NA,"0.048","1",NA,"0.048",NA,"0.048"
"346","24Q236","International High School for Health Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","24Q264","Academy of Finance and  Enterprise",NA,"0.024","1",NA,"0.024","1",NA,"0.016",NA,"0.024"
"348","24Q267","High School of Applied Communication",NA,"0.058","1",NA,"0.058","1",NA,"0.049",NA,"0.058"
"349","24Q293","Civic Leadership Academy",NA,"0.107","1",NA,"0.107","1",NA,"0.107",NA,"0.107"
"350","24Q296","Pan American International High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"351","24Q299","Bard High School Early College Queens","28","0.341","1","27","0.341","1","27","0.335","26","0.341"
"352","24Q455","Newtown High School","22","0.052","1","18","0.052","1","20","0.044","21","0.052"
"353","24Q485","Grover Cleveland High School",NA,"0.009","1",NA,"0.009","1",NA,"0.009",NA,"0.009"
"354","24Q520","Middle College High School at LaGuardia Community",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"355","24Q530","International High School at LaGuardia Community C",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"356","24Q550","High School for Arts and Business","19","0.129","1","17","0.129","1","18","0.088","18","0.129"
"357","24Q560","Robert F. Wagner, Jr. Secondary School for Arts an",NA,"0.017","1",NA,"0.017","1",NA,"0.008",NA,"0.017"
"358","24Q585","Maspeth High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"359","24Q600","Queens Vocational and Technical High School",NA,"0.03","1",NA,"0.03","1",NA,"0.027",NA,"0.03"
"360","24Q610","Aviation Career & Technical Education High School","24","0.117","1","19","0.117","1","21","0.091","21","0.117"
"361","25Q240","Veritas Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","25Q241","Queens High School for Language Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","25Q252","Queens School of Inquiry, The",NA,"0.118","1",NA,"0.118","1",NA,"0.103",NA,"0.118"
"364","25Q263","Flushing International High School",NA,"0.031","1",NA,"0.031","0",NA,"0.031",NA,"0.031"
"365","25Q281","East-West School of International Studies",NA,"0.115","1",NA,"0.115","1",NA,"0.115",NA,"0.115"
"366","25Q285","World Journalism Preparatory: A College Board Scho",NA,"0.118","1",NA,"0.118","1",NA,"0.118",NA,"0.118"
"367","25Q425","John Bowne High School","22","0.07","1","19","0.07","1","20","0.059","20","0.07"
"368","25Q460","Flushing High School","20","0.063","1","17","0.063","1","18","0.047","18","0.063"
"369","25Q525","Townsend Harris High School","29","0.526","1","30","0.526","1","29","0.426","27","0.526"
"370","25Q670","Robert F. Kennedy Community High School","19","0.264","1","15","0.264","1","17","0.239","18","0.264"
"371","26Q315","Business Technology Early College High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","26Q415","Benjamin N. Cardozo High School","25","0.221","1","22","0.221","1","24","0.186","23","0.221"
"373","26Q430","Francis Lewis High School","25","0.173","1","22","0.173","1","22","0.155","23","0.173"
"374","26Q435","Martin Van Buren High School","18","0.09","1","15","0.09","1","18","0.09","18","0.09"
"375","26Q495","Bayside High School","24","0.106","1","22","0.106","1","23","0.087","23","0.106"
"376","26Q566","Queens High School of Teaching, Liberal Arts and t","20","0.167","1","18","0.167","1","19","0.091","20","0.167"
"377","27Q260","Frederick Douglass Academy VI High School",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"378","27Q262","Channel View School for Research",NA,"0.108","1",NA,"0.108","1",NA,"0.108",NA,"0.108"
"379","27Q302","Queens High School for Information, Research, and",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"380","27Q308","Robert H. Goddard High School of Communication Art",NA,"0.095","1",NA,"0.095","1",NA,"0.088",NA,"0.095"
"381","27Q309","Academy of Medical Technology: A College Board Sch",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"382","27Q314","Epic High School - South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","27Q323","Scholars' Academy","25","0.398","1","24","0.398","1","25","0.297","25","0.398"
"384","27Q324","Rockaway Park High School for Environmental Sustai",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"385","27Q334","Epic High School - North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","27Q351","Rockaway Collegiate High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"387","27Q400","August Martin High School",NA,"0.03","0",NA,"0.03","1",NA,"0.018",NA,"0.03"
"388","27Q475","Richmond Hill High School",NA,"0.007","1",NA,"0.007","1",NA,"0.005",NA,"0.007"
"389","27Q480","John Adams High School","20","0.035","1","16","0.035","1","18","0.035","18","0.035"
"390","27Q650","High School for Construction Trades, Engineering a","20","0.078","1","18","0.078","1",NA,"0.06","19","0.078"
"391","28Q157","J.H.S. 157 Stephen A. Halsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","28Q167","Metropolitan Expeditionary Learning School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","28Q284","York Early College Academy",NA,"0.086","1",NA,"0.086","1",NA,"0.071",NA,"0.086"
"394","28Q310","Queens Collegiate: A College Board School",NA,"0.078","1",NA,"0.078","1",NA,"0.058",NA,"0.078"
"395","28Q325","Hillside Arts & Letters Academy",NA,"0.111","1",NA,"0.111","1",NA,"0.101",NA,"0.111"
"396","28Q328","High School for Community Leadership",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"397","28Q350","Jamaica Gateway to the Sciences",NA,"0.008","1",NA,"0.008","1",NA,"0.008",NA,"0.008"
"398","28Q440","Forest Hills High School","23","0.139","1","21","0.139","1","22","0.123","22","0.139"
"399","28Q505","Hillcrest High School","21","0.048","1","19","0.048","1","22","0.027","20","0.048"
"400","28Q620","Thomas A. Edison Career and Technical Education Hi","24","0.068","1","20","0.068","1","21","0.061","21","0.068"
"401","28Q680","Queens Gateway to Health Sciences Secondary School","23","0.165","1","22","0.165","1","23","0.158","22","0.165"
"402","28Q686","QUEENS METROPOLITAN HIGH SCHOOL","21","0.101","1","18","0.101","1","19","0.074","20","0.101"
"403","28Q687","Queens High School for the Sciences at York Colleg","31","0.546","1","28","0.546","1","29","0.392","28","0.546"
"404","28Q690","High School for Law Enforcement and Public Safety",NA,"0.022","0",NA,"0.022","1",NA,"0.015",NA,"0.022"
"405","28Q896","Young Women's Leadership School, Queens",NA,"0.11","1",NA,"0.11","1",NA,"0.11",NA,"0.11"
"406","29Q243","Institute for Health Professions at Cambria Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","29Q248","Queens Preparatory Academy","18","0.26","1","14","0.26","1","17","0.26","16","0.26"
"408","29Q259","Pathways College Preparatory School: A College Boa",NA,"0.126","1",NA,"0.126","1",NA,"0.126",NA,"0.126"
"409","29Q265","Excelsior Preparatory High School","18","0.196","1","16","0.196","1",NA,"0.112","16","0.196"
"410","29Q272","George Washington Carver High School for the Scien","18","0.307","1","17","0.307","1","18","0.219","19","0.307"
"411","29Q283","Preparatory Academy for Writers: A College Board S",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"412","29Q313","Benjamin Franklin High School for Finance & Inform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","29Q326","Cambria Heights Academy",NA,"0.098","0",NA,"0.098","1",NA,"0.085",NA,"0.098"
"414","29Q327","Eagle Academy for Young Men III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","29Q492","Mathematics, Science Research and Technology Magne",NA,"0.033","0",NA,"0.033","1",NA,"0.022",NA,"0.033"
"416","29Q494","Law, Government and Community Service High School",NA,"0.027","0",NA,"0.027","0",NA,"0.027",NA,"0.027"
"417","29Q496","Business, Computer Applications & Entrepreneurship",NA,"0.015","0",NA,"0.015","0",NA,"0.015",NA,"0.015"
"418","29Q498","Humanities & Arts Magnet High School",NA,"0.081","0",NA,"0.081","1",NA,"0.057",NA,"0.081"
"419","30Q258","Energy Tech High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","30Q286","Young Women's Leadership School, Astoria",NA,"0.081","1",NA,"0.081","1",NA,"0.081",NA,"0.081"
"421","30Q301","Academy for Careers in Television and Film",NA,"0.03","1",NA,"0.03","1",NA,"0.03",NA,"0.03"
"422","30Q445","William Cullen Bryant High School","22","0.037","1","18","0.037","1","21","0.034","20","0.037"
"423","30Q450","Long Island City High School","21","0.039","1","19","0.039","1","20","0.038","20","0.039"
"424","30Q501","Frank Sinatra School of the Arts High School","23","0.372","1","24","0.372","1","25","0.343","22","0.372"
"425","30Q502","Information Technology High School","19","0.082","1","15","0.082","1",NA,"0.047","18","0.082"
"426","30Q555","Newcomers High School",NA,"0.011","1",NA,"0.011","1",NA,"0.011",NA,"0.011"
"427","30Q575","Academy of American Studies","22","0.163","1","19","0.163","1","19","0.14","20","0.163"
"428","30Q580","Baccalaureate School for Global Education","28","0.25","1","29","0.25","1",NA,"0.206","27","0.25"
"429","31R047","CSI High School for International Studies","21","0.24","1","19","0.24","1","21","0.207","20","0.24"
"430","31R064","Gaynor McCown Expeditionary Learning School","17","0.212","1","16","0.212","1","18","0.142","17","0.212"
"431","31R080","The Michael J. Petrides School","23","0.125","1","21","0.125","1",NA,"0.108","19","0.125"
"432","31R440","New Dorp High School","21","0.086","1","20","0.086","1","21","0.071","20","0.086"
"433","31R445","Port Richmond High School","20","0.086","1","17","0.086","1","18","0.075","19","0.086"
"434","31R450","Curtis High School","20","0.12","1","19","0.12","1","22","0.079","20","0.12"
"435","31R455","Tottenville High School","23","0.146","1","21","0.146","1","22","0.099","22","0.146"
"436","31R460","Susan E. Wagner High School","23","0.09","1","22","0.09","1","22","0.072","22","0.09"
"437","31R600","Ralph R. McKee Career and Technical Education High",NA,"0.093","1",NA,"0.093","1",NA,"0.074",NA,"0.093"
"438","31R605","Staten Island Technical High School","30","0.383","1","30","0.383","1","30","0.329","28","0.383"
"439","32K168","The Brooklyn School for Math and Research",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"440","32K403","Academy for Environmental Leadership",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"441","32K545","EBC High School for Public Service - Bushwick",NA,"0.025","0",NA,"0.025","0",NA,"0.025",NA,"0.025"
"442","32K549","Bushwick School for Social Justice",NA,"0.118","1",NA,"0.118","1",NA,"0.098",NA,"0.118"
"443","32K552","Academy of Urban Planning",NA,"0.122","0",NA,"0.122","1",NA,"0.122",NA,"0.122"
"444","32K554","All City Leadership Secondary School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"445","32K556","Bushwick Leaders High School for Academic Excellen",NA,"0.096","1",NA,"0.106","1",NA,"0.032",NA,"0.096"
"446","84K355","Williamsburg Collegiate Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"447","84K356","Achievement First Crown Heights Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"448","84K357","KIPP AMP Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"449","84K358","Achievement First East New York Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","84K359","The Uft Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"451","84K473","Williamsburg Charter High School",NA,"0.026","1",NA,"0.026","1",NA,"0.019",NA,"0.026"
"452","84K508","Achievement First Endeavor Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"453","84K538","Achievement First Bushwick Charter School",NA,"0.038","1",NA,"0.038","1",NA,"0.038",NA,"0.038"
"454","84K593","Excellence Boys Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","84K608","Kings Collegiate Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"456","84K648","Bedford Stuyvesant Collegiate -Uncommon Collegiate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","84K693","Northside Charter High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"458","84K707","Brooklyn Prospect Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","84K710","Brownsville Collegiate Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","84K730","Summit Academy Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","84K733","Math, Engineering, and Science Academy Charter Hig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","84K738","New Visions Charter High School for Advanced Math",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","84K739","New Visions Charter High School for the Humanities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","84K744","Coney Island Preparatory Public Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","84K777","Ocean Hill Collegiate Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","84K780","Brooklyn East Collegiate Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","84M279","The Opportunity Charter School",NA,"0.049","1",NA,"0.049","0",NA,"0.016",NA,"0.049"
"468","84M284","Harlem Children's Zone Promise Academy 1 Charter S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","84M335","Harlem Village Academy Leadership Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"470","84M336","KIPP Infinity Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"471","84M341","Harlem Children's Zone Promise Academy II Charter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","84M350","Democracy Prep Charter School","21","0.894","1","19","0.894","1","18","0.871","20","0.894"
"473","84M353","New Heights Academy Charter School",NA,"0.047","1",NA,"0.047","0",NA,"0.047",NA,"0.047"
"474","84M433","Renaissance Charter High School for Innovation",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"475","84M481","Democracy Prep Harlem Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","84M709","Harlem Village Academy Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"477","84M726","KIPP STAR College Prep Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"478","84Q705","Renaissance Charter School","19","0.712","1","16","0.712","1","19","0.327","18","0.712"
"479","84R067","John W. Lavelle Preparatory Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","84X185","Bronx Lighthouse Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"481","84X202","New Visions Charter High School for Advanced Math",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","84X208","New Visions Charter High School for the Humanities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","84X345","Hyde Leadership Charter School",NA,"0.043","0",NA,"0.043","1",NA,"0.043",NA,"0.043"
"484","84X347","International Leadership Charter High School","16","0.5","1","14","0.5","1","16","0.5","14","0.5"
"485","84X393","University Prep Charter High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"486","84X395","NYC Charter High School for Architecture, Engineer","16","0.526","1","13","0.526","1",NA,"0.084","16","0.526"
"487","84X482","Dr. Richard Izquierdo Health and Science Charter S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","84X488","The Equality Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","84X539","New Visions Charter High School for Advanced Math",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"490","84X553","New Visions Charter High School for the Humanities",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"491","84X703","Bronx Preparatory Charter School",NA,"0.136","1",NA,"0.136","0",NA,"0.121",NA,"0.136"
"492","84X704","KIPP Academy Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
