"","DBN","School Name","Average Score Regents Algebra","Percentage Passing Regents Algebra","Percentage at college ready threshold Regents Algebra","Average Score Regents Geometry","Percentage Passing Regents Geometry","Percentage at college ready threshold Regents Geometry","Average Score Regents Algebra 2/Trig","Percentage Passing Regents Algebra 2/Trig","Percentage at college ready threshold Regents Algebra 2/Trig","Average Score Regents English","Percentage Passing Regents English","Percentage at college ready threshold Regents English","Average Score Regents US History","Percentage Passing Regents US History","Average Score Regents Global History","Percentage Passing Regents Global History","Average Score Regents Chemistry","Percentage Passing Regents Chemistry","Average Score Regents Physics","Percentage Passing Regents Physics","Average Score Regents Earth Science","Percentage Passing Regents Earth Science","Average Score Regents Living Environment","Percentage Passing Regents Living Environment","Average Score Regents Languages Other Than English","Percentage Passing Regents Languages Other Than English"
"371","26Q315","Business Technology Early College High School","62","0.541","0.012","73","0.792","0.167",NA,NA,NA,NA,NA,NA,"77","0.788",NA,NA,NA,NA,"47","0.125",NA,NA,NA,NA,NA,NA
"372","26Q415","Benjamin N. Cardozo High School","66","0.644","0.071","79","0.894","0.504","67","0.576","0.277","81","0.898","0.746","84","0.923","75","0.781","72","0.726","72","0.72","59","0.427","75","0.797","91","0.996"
"373","26Q430","Francis Lewis High School","74","0.841","0.281","83","0.944","0.604","78","0.788","0.543","82","0.91","0.778","83","0.902","77","0.8","78","0.912","79","0.889","69","0.695","81","0.878","88","0.965"
"374","26Q435","Martin Van Buren High School","64","0.541","0.048","59","0.42","0.049","50","0.21","0.065","70","0.734","0.416","66","0.613","59","0.428","72","0.789","71","0.774","53","0.24","65","0.571","88","0.976"
"375","26Q495","Bayside High School","70","0.767","0.127","75","0.82","0.381","63","0.511","0.207","74","0.811","0.606","79","0.863","71","0.697","65","0.55","64","0.533","56","0.407","76","0.832","83","0.888"
"376","26Q566","Queens High School of Teaching, Liberal Arts and t","64","0.583","0.046","65","0.554","0.119","62","0.448","0.184","75","0.839","0.59","80","0.878","69","0.643","68","0.714",NA,NA,"65","0.573","73","0.784","90","1"
"377","27Q260","Frederick Douglass Academy VI High School","60","0.343","0.043",NA,NA,NA,"35","0.067","0","69","0.75","0.42","66","0.594","55","0.315",NA,NA,NA,NA,NA,NA,"62","0.442",NA,NA
"378","27Q262","Channel View School for Research","72","0.827","0.211","65","0.627","0.134","57","0.394","0.121","80","0.884","0.735","76","0.847","71","0.74",NA,NA,NA,NA,"64","0.586","70","0.73","89","1"
"379","27Q302","Queens High School for Information, Research, and","57","0.275","0.014","44","0.083","0","40","0","0","53","0.382","0.114","62","0.473","52","0.309","64","0.476",NA,NA,NA,NA,"54","0.258","92","1"
"380","27Q308","Robert H. Goddard High School of Communication Art","69","0.822","0.079","67","0.671","0.192","56","0.32","0.04","79","0.875","0.744","82","0.916","70","0.672","65","0.531","68","0.667","70","0.674","71","0.713","85","0.952"
"381","27Q309","Academy of Medical Technology: A College Board Sch","68","0.659","0.127","62","0.533","0.167",NA,NA,NA,"68","0.719","0.354","67","0.657","65","0.616","57","0.25",NA,NA,"59","0.338","65","0.566","88","0.98"
"382","27Q314","Epic High School - South","67","0.65","0.075",NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","0.702",NA,NA,NA,NA,NA,NA,NA,NA,"71","0.784",NA,NA
"383","27Q323","Scholars' Academy","86","1","0.927","88","1","0.868","83","0.917","0.667","91","1","0.978","89","0.987","92","1","81","0.969","77","0.841",NA,NA,NA,NA,"93","0.985"
"384","27Q324","Rockaway Park High School for Environmental Sustai","63","0.513","0.025","64","0.545","0.091",NA,NA,NA,"76","0.871","0.624","71","0.725","62","0.514",NA,NA,NA,NA,"66","0.615","72","0.757",NA,NA
"385","27Q334","Epic High School - North","54","0.155","0","56","0.133","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","27Q351","Rockaway Collegiate High School","61","0.411","0.033","52","0.195","0.008",NA,NA,NA,"67","0.724","0.296","63","0.571","64","0.517","40","0",NA,NA,"55","0.346","63","0.454",NA,NA
"387","27Q400","August Martin High School","55","0.225","0.01","50","0.16","0.011",NA,NA,NA,"66","0.642","0.399","61","0.452","58","0.403",NA,NA,NA,NA,"44","0.04","62","0.435",NA,NA
"388","27Q475","Richmond Hill High School","65","0.602","0.063","66","0.594","0.124","45","0.167","0.074","68","0.702","0.422","63","0.51","65","0.578","69","0.714",NA,NA,"58","0.326","65","0.56","88","0.958"
"389","27Q480","John Adams High School","65","0.549","0.107","64","0.506","0.117","60","0.423","0.127","68","0.711","0.409","70","0.701","64","0.521","67","0.539","61","0.447","59","0.399","62","0.493","90","0.981"
"390","27Q650","High School for Construction Trades, Engineering a","71","0.814","0.175","73","0.777","0.335","63","0.488","0.197","85","0.966","0.847","84","0.945","77","0.844","69","0.636","64","0.54","75","0.777","79","0.926","87","0.943"
"391","28Q157","J.H.S. 157 Stephen A. Halsey","67","0.774","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","0.96",NA,NA
"392","28Q167","Metropolitan Expeditionary Learning School","65","0.563","0.119","69","0.718","0.155","58","0.356","0.089","86","0.957","0.861",NA,NA,"78","0.895","62","0.448",NA,NA,"65","0.527","71","0.759","86","0.972"
"393","28Q284","York Early College Academy","76","0.92","0.352","77","0.948","0.377","77","0.85","0.433","85","1","0.953","85","0.917","81","0.922","77","0.927",NA,NA,"78","0.922","81","0.933","90","1"
"394","28Q310","Queens Collegiate: A College Board School","64","0.582","0.02","65","0.584","0.101","50","0.282","0.128","75","0.855","0.581","72","0.778","70","0.688","66","0.568",NA,NA,"68","0.691","67","0.629","83","0.9"
"395","28Q325","Hillside Arts & Letters Academy","66","0.669","0.041","71","0.75","0.236","55","0.333","0.103","77","0.88","0.669","75","0.794","62","0.463",NA,NA,NA,NA,"64","0.506","68","0.639","90","1"
"396","28Q328","High School for Community Leadership","68","0.84","0.061","67","0.616","0.253","69","0.68","0.24","80","0.967","0.761","77","0.888","79","0.974","71","0.848","78","0.842",NA,NA,"79","0.912","90","1"
"397","28Q350","Jamaica Gateway to the Sciences","69","0.731","0.13","70","0.658","0.25","64","0.514","0.203","81","0.894","0.712","80","0.855","69","0.682","69","0.627","64","0.542","68","0.67","70","0.664","86","0.961"
"398","28Q440","Forest Hills High School","71","0.805","0.175","76","0.847","0.423","73","0.733","0.411","79","0.892","0.706","83","0.904","76","0.797","70","0.698","72","0.703","66","0.612","77","0.829","91","0.986"
"399","28Q505","Hillcrest High School","65","0.568","0.068","64","0.549","0.103","59","0.362","0.127","71","0.774","0.479","75","0.798","68","0.646","61","0.381","56","0.275","67","0.635","67","0.629","90","0.983"
"400","28Q620","Thomas A. Edison Career and Technical Education Hi","69","0.759","0.095","76","0.901","0.329","78","0.857","0.506","80","0.948","0.81","86","0.952","73","0.794","71","0.798","75","0.828","74","0.849","81","0.9","85","1"
"401","28Q680","Queens Gateway to Health Sciences Secondary School","62","0.5","0","75","0.85","0.449","63","0.477","0.133","88","0.939","0.9","91","0.983","84","0.911","71","0.793","67","0.629","79","0.885","83","0.989","84","0.934"
"402","28Q686","QUEENS METROPOLITAN HIGH SCHOOL","72","0.873","0.17","69","0.7","0.211","58","0.383","0.114","76","0.873","0.615","83","0.911","73","0.761","65","0.463",NA,NA,"74","0.801","78","0.912","87","0.964"
"403","28Q687","Queens High School for the Sciences at York Colleg",NA,NA,NA,"88","0.991","0.811","91","0.971","0.869",NA,NA,NA,"92","1","95","1","83","0.985","88","0.991",NA,NA,"93","1","91","0.991"
"404","28Q690","High School for Law Enforcement and Public Safety","62","0.463","0.037","60","0.295","0.066","47","0.171","0.024","74","0.855","0.539","75","0.754","61","0.449","53","0.185",NA,NA,"60","0.452","63","0.529","88","1"
"405","28Q896","Young Women's Leadership School, Queens","67","0.668","0.092","62","0.396","0.104","49","0.196","0.039","81","0.909","0.74","80","0.859","73","0.739","58","0.2",NA,NA,"60","0.393","71","0.718","91","1"
"406","29Q243","Institute for Health Professions at Cambria Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","29Q248","Queens Preparatory Academy","59","0.376","0.013","57","0.359","0.12","49","0.171","0.049","68","0.669","0.416","71","0.759","60","0.469","56","0.17","59","0.327","55","0.286","62","0.5","76","0.842"
"408","29Q259","Pathways College Preparatory School: A College Boa","63","0.48","0","51","0.115","0","56","0.25","0.077","79","0.854","0.709","72","0.74","60","0.45",NA,NA,NA,NA,"63","0.441","61","0.434","89","1"
"409","29Q265","Excelsior Preparatory High School","68","0.697","0.091","74","0.884","0.233","83","0.96","0.76","70","0.748","0.42","73","0.793","56","0.357","71","0.787",NA,NA,"52","0.16","65","0.609","77","0.939"
"410","29Q272","George Washington Carver High School for the Scien","62","0.453","0.05","59","0.328","0.025","53","0.246","0.079","77","0.914","0.642","73","0.772","65","0.59","56","0.212",NA,NA,"57","0.358","62","0.491","84","0.918"
"411","29Q283","Preparatory Academy for Writers: A College Board S","67","0.647","0.106","67","0.625","0.15","63","0.522","0.217","76","0.897","0.607","71","0.783","67","0.661","66","0.585",NA,NA,"71","0.87","72","0.813","89","1"
"412","29Q313","Benjamin Franklin High School for Finance & Inform","61","0.392","0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","0.358",NA,NA,NA,NA
"413","29Q326","Cambria Heights Academy","62","0.466","0.028","51","0.109","0.008","44","0.105","0","70","0.755","0.445","71","0.717","58","0.399","55","0.167","47","0.087","56","0.329","64","0.551",NA,NA
"414","29Q327","Eagle Academy for Young Men III","56","0.184","0","59","0.317","0.032",NA,NA,NA,NA,NA,NA,"69","0.671","71","0.746","67","0.708",NA,NA,"60","0.333","68","0.644",NA,NA
"415","29Q492","Mathematics, Science Research and Technology Magne","65","0.616","0.053","56","0.254","0","58","0.385","0.077","74","0.842","0.592","68","0.702","57","0.393","63","0.463",NA,NA,"53","0.267","66","0.558",NA,NA
"416","29Q494","Law, Government and Community Service High School","66","0.613","0.097","51","0.043","0","44","0.15","0.05","68","0.757","0.297","72","0.783","59","0.426",NA,NA,NA,NA,"66","0.652","55","0.2",NA,NA
"417","29Q496","Business, Computer Applications & Entrepreneurship","64","0.514","0.027","59","0.432","0",NA,NA,NA,"69","0.717","0.377","68","0.612","60","0.444","52","0.075",NA,NA,NA,NA,"63","0.48",NA,NA
"418","29Q498","Humanities & Arts Magnet High School","62","0.444","0.039","53","0.137","0",NA,NA,NA,"70","0.774","0.439","74","0.79","58","0.386","62","0.313",NA,NA,"61","0.404","61","0.459","89","1"
"419","30Q258","Energy Tech High School","64","0.609","0.025","70","0.712","0.25","79","0.867","0.467","89","1","0.969",NA,NA,"80","0.863","60","0.389",NA,NA,NA,NA,"74","0.778",NA,NA
"420","30Q286","Young Women's Leadership School, Astoria","70","0.799","0.112","76","0.864","0.439","73","0.811","0.324","80","0.931","0.736","86","0.926","73","0.738","70","0.722",NA,NA,"76","0.841","78","0.893","93","1"
"421","30Q301","Academy for Careers in Television and Film","70","0.871","0.114","70","0.676","0.234","52","0.299","0.092","82","0.966","0.884","86","0.977","77","0.872","58","0.241","41","0.077","72","0.746","79","0.901",NA,NA
"422","30Q445","William Cullen Bryant High School","70","0.76","0.138","65","0.546","0.151","63","0.481","0.247","71","0.73","0.451","76","0.796","63","0.517","70","0.65","67","0.615","67","0.606","70","0.655","91","0.987"
"423","30Q450","Long Island City High School","63","0.513","0.054","56","0.279","0.036","41","0.076","0.038","69","0.722","0.424","67","0.615","62","0.503","52","0.163","56","0.395","63","0.535","64","0.553","86","0.902"
"424","30Q501","Frank Sinatra School of the Arts High School","69","0.815","0.062","76","0.893","0.33","65","0.545","0.152","87","0.994","0.952","91","0.994","82","0.944","67","0.625","74","0.805","79","0.904","84","0.971","92","1"
"425","30Q502","Information Technology High School","65","0.602","0.041","77","0.887","0.454","75","0.854","0.341","73","0.837","0.557","72","0.77","67","0.624","76","0.919","72","0.8","69","0.654","75","0.855","88","0.881"
"426","30Q555","Newcomers High School","73","0.817","0.275","75","0.813","0.373","67","0.549","0.305","66","0.667","0.349","76","0.826","65","0.562","69","0.662","80","0.944","71","0.687","77","0.902","96","1"
"427","30Q575","Academy of American Studies","71","0.811","0.207","72","0.766","0.279","64","0.529","0.191","81","0.886","0.723","84","0.897","81","0.88","67","0.641",NA,NA,"72","0.755","76","0.833","90","0.994"
"428","30Q580","Baccalaureate School for Global Education",NA,NA,NA,"92","1","0.96","86","0.902","0.768","96","1","0.989","95","1","91","0.989","83","0.973",NA,NA,NA,NA,NA,NA,"89","1"
"429","31R047","CSI High School for International Studies","71","0.873","0.063","75","0.831","0.381","54","0.308","0.083","86","0.984","0.868","90","0.963","80","0.867","77","0.969",NA,NA,"76","0.879","82","0.946","81","0.886"
"430","31R064","Gaynor McCown Expeditionary Learning School","67","0.679","0.072","71","0.684","0.263","57","0.34","0.075","77","0.884","0.659","79","0.868","69","0.66","69","0.667",NA,NA,"62","0.414","76","0.879","81","0.941"
"431","31R080","The Michael J. Petrides School","65","0.576","0.177","67","0.625","0.092","56","0.35","0.092","80","0.903","0.726","73","0.694","71","0.713","58","0.264","58","0.371","71","0.737","64","0.59","89","0.941"
"432","31R440","New Dorp High School","65","0.618","0.073","66","0.594","0.178","58","0.402","0.106","75","0.809","0.604","77","0.828","67","0.634","67","0.566","70","0.712","61","0.469","73","0.731","85","0.965"
"433","31R445","Port Richmond High School","63","0.53","0.055","61","0.434","0.067","58","0.387","0.153","69","0.708","0.422","72","0.713","60","0.44","63","0.43","68","0.691","56","0.33","67","0.616","90","0.938"
"434","31R450","Curtis High School","67","0.628","0.096","62","0.449","0.103","55","0.342","0.109","74","0.784","0.572","73","0.736","63","0.499","65","0.524","64","0.516","57","0.357","68","0.606","86","0.953"
"435","31R455","Tottenville High School","69","0.769","0.081","67","0.646","0.18","62","0.508","0.18","79","0.915","0.715","80","0.872","72","0.706","64","0.48","66","0.601","57","0.332","73","0.786","81","0.904"
"436","31R460","Susan E. Wagner High School","64","0.521","0.073","67","0.634","0.168","62","0.467","0.145","79","0.895","0.704","82","0.903","72","0.714","69","0.637","72","0.697","59","0.407","73","0.765","91","0.998"
"437","31R600","Ralph R. McKee Career and Technical Education High","67","0.748","0.022","64","0.568","0.097","45","0.07","0","71","0.778","0.444","69","0.736","63","0.484","52","0.071",NA,NA,"60","0.443","66","0.606",NA,NA
"438","31R605","Staten Island Technical High School","83","1","0.613","92","1","0.97","89","0.994","0.836","91","1","0.971","94","1","92","0.994","88","0.994","88","0.994",NA,NA,"93","1","95","0.997"
"439","32K168","The Brooklyn School for Math and Research","72","0.823","0.215","69","0.656","0.125","68","0.586","0.172","78","0.898","0.735",NA,NA,"68","0.672","67","0.568","65","0.636",NA,NA,"80","0.934",NA,NA
"440","32K403","Academy for Environmental Leadership","58","0.333","0","58","0.266","0",NA,NA,NA,"65","0.622","0.3","67","0.632","57","0.398",NA,NA,NA,NA,"64","0.508","62","0.446",NA,NA
"441","32K545","EBC High School for Public Service - Bushwick","63","0.592","0.028","66","0.692","0","53","0.118","0","69","0.766","0.461","66","0.632","61","0.545","62","0.367",NA,NA,"57","0.351","64","0.574",NA,NA
"442","32K549","Bushwick School for Social Justice","61","0.4","0.054","59","0.417","0.021",NA,NA,NA,"69","0.712","0.396","69","0.641","59","0.417",NA,NA,NA,NA,"61","0.393","59","0.392","90","1"
"443","32K552","Academy of Urban Planning","58","0.341","0.012","64","0.48","0.04",NA,NA,NA,"61","0.577","0.309","63","0.548","59","0.475",NA,NA,"32","0.042","68","0.765","60","0.436",NA,NA
"444","32K554","All City Leadership Secondary School","73","0.795","0.205","78","0.806","0.516","53","0.267","0.022","83","0.898","0.816","82","0.831","81","0.854",NA,NA,NA,NA,"73","0.756","82","0.897","86","0.902"
"445","32K556","Bushwick Leaders High School for Academic Excellen","58","0.314","0.021","48","0.054","0",NA,NA,NA,"61","0.51","0.312","56","0.363","51","0.204","45","0",NA,NA,NA,NA,"60","0.467","93","1"
"446","84K355","Williamsburg Collegiate Charter School",NA,NA,NA,"69","0.757","0.108","52","0.109","0.022","81","0.94","0.74","89","1","76","0.9","57","0.077",NA,NA,NA,NA,"81","0.977",NA,NA
"447","84K356","Achievement First Crown Heights Charter School","67","0.733","0.017","75","0.947","0.263",NA,NA,NA,"77","0.841","0.651","81","0.833","72","0.729",NA,NA,NA,NA,NA,NA,"69","0.813",NA,NA
"448","84K357","KIPP AMP Charter School","69","0.852","0.017","76","0.831","0.427","67","0.567","0.233","79","0.903","0.743","85","0.962","80","0.974","66","0.605",NA,NA,NA,NA,"78","0.936","92","0.984"
"449","84K358","Achievement First East New York Charter School","69","0.878","0.049","76","0.938","0.219",NA,NA,NA,NA,NA,NA,NA,NA,"77","0.906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","84K359","The Uft Charter School","57","0.206","0.008","49","0.064","0.013","41","0.05","0","68","0.655","0.444","70","0.654","64","0.472","45","0.017",NA,NA,NA,NA,"63","0.411",NA,NA
"451","84K473","Williamsburg Charter High School","63","0.429","0.024","53","0.197","0.02","48","0.071","0","70","0.786","0.377","73","0.808","65","0.637","60","0.359","58","0.267","66","0.61","63","0.554","72","0.737"
"452","84K508","Achievement First Endeavor Charter School","68","0.796","0.02","72","0.776","0.224",NA,NA,NA,"77","0.8","0.6","80","0.871","71","0.685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","84K538","Achievement First Bushwick Charter School","72","0.915","0.085","77","0.818","0.527",NA,NA,NA,"78","0.9","0.7","83","0.976","79","0.855",NA,NA,NA,NA,NA,NA,"71","0.867",NA,NA
"454","84K593","Excellence Boys Charter School",NA,NA,NA,"65","0.533","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","84K608","Kings Collegiate Charter School",NA,NA,NA,"67","0.618","0.044","53","0.16","0","82","0.911","0.756","89","0.97","75","0.83","56","0.137",NA,NA,NA,NA,"80","0.941",NA,NA
"456","84K648","Bedford Stuyvesant Collegiate -Uncommon Collegiate",NA,NA,NA,"63","0.523","0.114","68","0.565","0.217","79","0.884","0.695","85","1","71","0.75","58","0.268",NA,NA,NA,NA,"85","1",NA,NA
"457","84K693","Northside Charter High School","61","0.417","0.013","61","0.395","0.086","43","0.091","0.03","72","0.822","0.445","78","0.845","73","0.714","57","0.2",NA,NA,"67","0.594","67","0.615",NA,NA
"458","84K707","Brooklyn Prospect Charter School","70","0.875","0.042","74","0.867","0.349","76","0.773","0.5","79","0.864","0.691","80","0.898","74","0.744","71","0.765",NA,NA,"62","0.409","77","0.9","87","0.966"
"459","84K710","Brownsville Collegiate Charter School",NA,NA,NA,"70","0.739","0.109",NA,NA,NA,"79","0.902","0.646",NA,NA,"80","0.846","65","0.519",NA,NA,NA,NA,NA,NA,NA,NA
"460","84K730","Summit Academy Charter School","61","0.404","0.021","57","0.256","0.023","38","0.077","0","76","0.852","0.537","80","0.878","64","0.532","53","0.25",NA,NA,"64","0.556","66","0.591",NA,NA
"461","84K733","Math, Engineering, and Science Academy Charter Hig","65","0.654","0.008","69","0.714","0.143",NA,NA,NA,"89","1","0.935",NA,NA,"71","0.79","55","0.162",NA,NA,NA,NA,"76","0.82",NA,NA
"462","84K738","New Visions Charter High School for Advanced Math","65","0.616","0.024",NA,NA,NA,"52","0.239","0.099","73","0.823","0.489",NA,NA,"68","0.688",NA,NA,NA,NA,"57","0.355","73","0.816","83","0.968"
"463","84K739","New Visions Charter High School for the Humanities","61","0.36","0.01",NA,NA,NA,"36","0","0",NA,NA,NA,NA,NA,"63","0.564",NA,NA,NA,NA,"46","0.091","67","0.68",NA,NA
"464","84K744","Coney Island Preparatory Public Charter School","64","0.72","0","75","0.87","0.351","65","0.54","0.14",NA,NA,NA,NA,NA,"71","0.725","64","0.545",NA,NA,"80","0.952","68","0.72",NA,NA
"465","84K777","Ocean Hill Collegiate Charter School",NA,NA,NA,"72","0.889","0.056",NA,NA,NA,"79","0.846","0.718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","84K780","Brooklyn East Collegiate Charter School",NA,NA,NA,"73","0.966","0.069",NA,NA,NA,"80","0.895","0.711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","84M279","The Opportunity Charter School","62","0.522","0.029",NA,NA,NA,NA,NA,NA,"66","0.561","0.258","55","0.325","55","0.288",NA,NA,NA,NA,NA,NA,"58","0.349",NA,NA
"468","84M284","Harlem Children's Zone Promise Academy 1 Charter S","65","0.702","0.011","67","0.754","0.062",NA,NA,NA,"76","0.944","0.75","77","0.919","70","0.727","67","0.684",NA,NA,"78","1","84","0.989",NA,NA
"469","84M335","Harlem Village Academy Leadership Charter School","66","0.681","0","65","0.61","0.098",NA,NA,NA,"80","0.9","0.7","79","0.939","72","0.762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","84M336","KIPP Infinity Charter School","62","0.444","0","73","0.881","0.238","71","0.712","0.182","79","0.939","0.697","81","0.903","76","0.847","66","0.654","67","0.65",NA,NA,"75","0.88","93","1"
"471","84M341","Harlem Children's Zone Promise Academy II Charter","73","1","0.097",NA,NA,NA,NA,NA,NA,"90","1","0.962","86","0.975","79","0.882",NA,NA,NA,NA,NA,NA,"79","0.941",NA,NA
"472","84M350","Democracy Prep Charter School","70","0.943","0.034","78","0.979","0.442","72","0.853","0.196","81","0.95","0.755","84","0.962","81","0.958","74","0.901","66","0.56",NA,NA,"84","0.984","85","0.976"
"473","84M353","New Heights Academy Charter School","64","0.6","0.014","58","0.263","0.068","57","0.301","0.075","70","0.8","0.371","85","0.989","68","0.568","67","0.635",NA,NA,"69","0.636","75","0.885","76","0.78"
"474","84M433","Renaissance Charter High School for Innovation","55","0.215","0","50","0.139","0",NA,NA,NA,"65","0.621","0.207","65","0.581","54","0.307",NA,NA,NA,NA,"58","0.304","58","0.346",NA,NA
"475","84M481","Democracy Prep Harlem Charter School","69","0.798","0.061","78","0.944","0.411","70","0.826","0.174","87","0.989","0.956",NA,NA,"82","0.978","74","0.874",NA,NA,NA,NA,"78","0.924",NA,NA
"476","84M709","Harlem Village Academy Charter School","66","0.692","0.031","61","0.273","0.045",NA,NA,NA,"74","0.764","0.594","79","0.92","70","0.676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","84M726","KIPP STAR College Prep Charter School","66","0.716","0","71","0.81","0.207","69","0.725","0.325","76","0.89","0.63","81","0.908","76","0.845","64","0.52","63","0.4",NA,NA,"75","0.873","90","1"
"478","84Q705","Renaissance Charter School","69","0.828","0.078","69","0.667","0.263","50","0.226","0.032","74","0.87","0.455","82","0.895","70","0.657","59","0.349",NA,NA,NA,NA,"82","0.965",NA,NA
"479","84R067","John W. Lavelle Preparatory Charter School","63","0.6","0","64","0.5","0.083","50","0.273","0","72","0.778","0.489","59","0.4","79","0.955","59","0.286",NA,NA,NA,NA,"73","0.833","87","0.895"
"480","84X185","Bronx Lighthouse Charter School","69","0.702","0.128","67","0.667","0.072","69","0.667","0.307","76","0.825","0.643","78","0.947","75","0.808","74","0.861",NA,NA,"70","0.795","75","0.92","87","0.982"
"481","84X202","New Visions Charter High School for Advanced Math","67","0.667","0.117","61","0.424","0.024","47","0.099","0.011","70","0.796","0.344","75","0.778","67","0.619","57","0.256",NA,NA,"60","0.433","69","0.672","88","0.956"
"482","84X208","New Visions Charter High School for the Humanities","61","0.421","0.049","68","0.643","0.036","56","0.438","0","63","0.513","0.188","63","0.482","52","0.27",NA,NA,NA,NA,"45","0.079","63","0.523",NA,NA
"483","84X345","Hyde Leadership Charter School","65","0.577","0.038","60","0.381","0.038","57","0.425","0.125","73","0.772","0.463","84","0.946","71","0.736","63","0.424","63","0.536",NA,NA,"68","0.612","83","0.872"
"484","84X347","International Leadership Charter High School","75","0.877","0.333",NA,NA,NA,NA,NA,NA,"79","0.962","0.712","85","0.981","69","0.768",NA,NA,NA,NA,NA,NA,"82","0.991",NA,NA
"485","84X393","University Prep Charter High School","67","0.66","0.08","71","0.691","0.247","57","0.387","0.129","77","0.952","0.702","86","0.939","75","0.796","60","0.286",NA,NA,NA,NA,"78","0.956","93","1"
"486","84X395","NYC Charter High School for Architecture, Engineer","68","0.7","0.089","60","0.339","0.034","59","0.458","0.083","82","0.957","0.835","62","0.491","69","0.694",NA,NA,NA,NA,"65","0.6","61","0.438",NA,NA
"487","84X482","Dr. Richard Izquierdo Health and Science Charter S","69","0.836","0.049","71","0.905","0.071",NA,NA,NA,NA,NA,NA,NA,NA,"79","0.945",NA,NA,NA,NA,"74","0.882","78","0.887","92","1"
"488","84X488","The Equality Charter School","67","0.659","0.176","77","1","0.381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","0.694",NA,NA
"489","84X539","New Visions Charter High School for Advanced Math","64","0.58","0.047","61","0.395","0.066","51","0.183","0.024","71","0.741","0.401","72","0.778","67","0.62","62","0.386",NA,NA,"49","0.14","68","0.628",NA,NA
"490","84X553","New Visions Charter High School for the Humanities","62","0.455","0.031","63","0.5","0.147","46","0.207","0.034","69","0.698","0.278","69","0.711","59","0.463","65","0.625",NA,NA,NA,NA,"65","0.57",NA,NA
"491","84X703","Bronx Preparatory Charter School","63","0.476","0.01","58","0.309","0.049","49","0.127","0.018","70","0.693","0.398","80","0.937","66","0.6","61","0.365","46","0.069","54","0.241",NA,NA,"89","0.971"
"492","84X704","KIPP Academy Charter School","64","0.577","0","73","0.938","0.188","70","0.704","0.204","79","0.925","0.8","83","0.985","78","0.902","68","0.7","69","0.514",NA,NA,"71","0.852","91","1"
