"","DBN","School Name","Average Score SAT Math","Percentage of 4-year Cohort Taking SAT Math","Percentage College Ready SAT Math","Average Score SAT Critical Reading","Percentage of 4-year Cohort Taking SAT Critical Reading","Percentage College Ready SAT Critical Reading","Average Score SAT Writing","Percentage of 4-year Cohort Taking SAT Writing"
"2","28Q896","Young Women's Leadership School, Queens","415","0.904","1","420","0.904","1","433","0.904"
"3","30Q286","Young Women's Leadership School, Astoria","483","1","1","464","1","1","477","1"
"4","14K614","Young Women's Leadership School of Brooklyn",NA,"0","0",NA,"0","0",NA,"0"
"5","04M610","Young Women's Leadership School","478","1","1","465","1","1","472","1"
"6","28Q284","York Early College Academy","496","0.929","1","481","0.929","1","473","0.929"
"7","10X353","World View High School",NA,NA,NA,NA,NA,NA,NA,NA
"8","25Q285","World Journalism Preparatory: A College Board Scho","484","0.892","1","491","0.892","1","487","0.892"
"9","19K510","World Academy for Total Community Health High Scho","380","0.409","1","389","0.409","1","384","0.409"
"10","08X282","Women's Academy of Excellence","386","0.452","1","390","0.452","1","389","0.452"
"11","12X684","Wings Academy","379","0.492","1","372","0.492","1","373","0.492"
"12","14K561","Williamsburg Preparatory School","443","0.878","1","440","0.878","1","430","0.878"
"13","14K558","Williamsburg High School for Architecture and Desi","415","0.601","1","424","0.601","1","407","0.601"
"14","84K355","Williamsburg Collegiate Charter School",NA,"0","0",NA,"0","0",NA,"0"
"15","84K473","Williamsburg Charter High School","406","0.718","1","408","0.718","1","395","0.718"
"16","21K620","William E. Grady Career and Technical Education Hi","416","0.314","1","423","0.314","1","387","0.314"
"17","30Q445","William Cullen Bryant High School","466","0.569","1","424","0.569","1","426","0.569"
"18","08X558","Westchester Square Academy",NA,NA,NA,NA,NA,NA,NA,NA
"19","10X243","West Bronx Academy for the Future","404","0.573","1","383","0.573","1","378","0.573"
"20","02M460","Washington Irving High School","423","0.295","1","423","0.295","1","405","0.295"
"21","06M348","Washington Heights Expeditionary Learning School","443","0.87","1","423","0.87","1","434","0.87"
"22","03M415","Wadleigh Secondary School for the Performing & Vis","381","0.526","1","401","0.526","1","392","0.526"
"23","19K660","W. H. Maxwell Career and Technical Education High","326","0.385","1","333","0.385","1","350","0.385"
"24","18K576","Victory Collegiate High School","386","0.727","1","408","0.727","1","402","0.727"
"25","25Q240","Veritas Academy",NA,NA,NA,NA,NA,NA,NA,NA
"26","02M449","Vanguard High School","431","0.638","1","409","0.638","1","396","0.638"
"27","09X263","Validus Preparatory Academy: An Expeditionary Lear","382","0.592","1","375","0.592","1","384","0.592"
"28","02M300","Urban Assembly School of Design and Construction,","445","0.606","1","417","0.606","1","403","0.606"
"29","02M316","Urban Assembly School of Business for Young Women,","418","0.75","1","420","0.75","1","417","0.75"
"30","12X372","Urban Assembly School for Wildlife Conservation","393","0.711","1","397","0.711","1","379","0.711"
"31","05M369","Urban Assembly School for the Performing Arts","379","0.767","1","399","0.767","1","388","0.767"
"32","03M307","Urban Assembly School for Media Studies, The","392","0.495","1","419","0.495","1","396","0.495"
"33","20K609","Urban Assembly School for Criminal Justice","428","0.836","1","413","0.836","1","417","0.836"
"34","07X548","Urban Assembly School for Careers in Sports","402","0.555","1","405","0.555","1","395","0.555"
"35","09X241","Urban Assembly School for Applied Math and Science","445","0.878","1","418","0.878","1","422","0.878"
"36","02M551","Urban Assembly New York Harbor School","446","0.788","1","453","0.788","1","428","0.788"
"37","02M282","Urban Assembly Maker Academy",NA,NA,NA,NA,NA,NA,NA,NA
"38","13K527","Urban Assembly Institute of Math and Science for Y","397","0.824","1","415","0.824","1","407","0.824"
"39","13K350","Urban Assembly High School of Music and Art","372","0.551","1","372","0.551","1","361","0.551"
"40","02M507","Urban Assembly Gateway School for Technology","445","0.784","1","432","0.784","1","415","0.784"
"41","02M305","Urban Assembly Academy of Government and Law, The","389","0.808","1","395","0.808","1","381","0.808"
"42","18K642","Urban Action Academy","362","0.449","1","396","0.449","1","393","0.449"
"43","84X393","University Prep Charter High School","449","0.977","1","431","0.977","1","416","0.977"
"44","01M448","University Neighborhood High School","437","0.699","1","355","0.699","1","352","0.699"
"45","07X495","University Heights Secondary School","420","0.878","1","446","0.878","1","424","0.878"
"46","02M500","Unity Center for Urban Technologies","375","0.628","1","385","0.628","1","387","0.628"
"47","02M533","Union Square Academy for Health Sciences",NA,NA,NA,NA,NA,NA,NA,NA
"48","19K615","Transit Tech Career and Technical Education High S","387","0.372","1","387","0.372","1","384","0.372"
"49","25Q525","Townsend Harris High School","680","0.971","1","640","0.971","1","661","0.971"
"50","31R455","Tottenville High School","494","0.789","1","476","0.789","1","476","0.789"
"51","05M670","Thurgood Marshall Academy for Learning and Social","402","0.847","1","394","0.847","1","400","0.847"
"52","28Q620","Thomas A. Edison Career and Technical Education Hi","514","0.8","1","473","0.8","1","470","0.8"
"53","10X225","Theatre Arts Production Company School","402","0.777","1","421","0.777","1","410","0.777"
"54","13K483","The Urban Assembly School for Law and Justice","446","0.876","1","443","0.876","1","430","0.876"
"55","03M402","The Urban Assembly School for Green Careers","393","0.6","1","371","0.6","1","378","0.6"
"56","05M157","The Urban Assembly School for Global Commerce",NA,NA,NA,NA,NA,NA,NA,NA
"57","02M135","The Urban Assembly School for Emergency Management",NA,NA,NA,NA,NA,NA,NA,NA
"58","19K764","The Urban Assembly School for Collaborative Health",NA,NA,NA,NA,NA,NA,NA,NA
"59","07X551","The Urban Assembly Bronx Academy of Letters","398","0.578","1","400","0.578","1","405","0.578"
"60","84K359","The Uft Charter School","386","0.861","1","374","0.861","1","373","0.861"
"61","19K683","The School for Classics: An Academy of Thinkers, W","387","0.528","1","391","0.528","1","383","0.528"
"62","84M279","The Opportunity Charter School","369","0.525","1","382","0.525","1","365","0.525"
"63","31R080","The Michael J. Petrides School","483","0.792","1","473","0.792","1","470","0.792"
"64","12X521","The Metropolitan Soundview High School","444","0.52","1","428","0.52","1","422","0.52"
"65","10X237","The Marie Curie School for Medicine, Nursing, and","423","0.686","1","420","0.686","1","425","0.686"
"66","02M600","The High School of Fashion Industries","433","0.806","1","442","0.806","1","427","0.806"
"67","02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY","446","0.702","1","433","0.702","1","411","0.702"
"68","17K528","The High School for Global Citizenship","377","0.619","1","386","0.619","1","375","0.619"
"69","14K478","The High School for Enterprise, Business and Techn","463","0.545","1","446","0.545","1","425","0.545"
"70","03M403","The Global Learning Collaborative","406","0.594","1","407","0.594","1","413","0.594"
"71","84X488","The Equality Charter School",NA,NA,NA,NA,NA,NA,NA,NA
"72","06M462","The College Academy","367","0.419","1","377","0.419","1","363","0.419"
"73","12X478","THE CINEMA SCHOOL","430","0.883","1","449","0.883","1","448","0.883"
"74","32K168","The Brooklyn School for Math and Research",NA,"0","0",NA,"0","0",NA,"0"
"75","16K688","The Brooklyn Academy of Global Finance","395","0.459","1","382","0.459","1","391","0.459"
"76","11X514","The Bronxwood Preparatory Academy","392","0.433","1","408","0.433","1","392","0.433"
"77","23K697","Teachers Preparatory High School","394","0.566","1","399","0.566","1","412","0.566"
"78","02M519","Talent Unlimited High School","485","0.893","1","498","0.893","1","496","0.893"
"79","31R460","Susan E. Wagner High School","496","0.663","1","490","0.663","1","487","0.663"
"80","15K667","Sunset Park High School","398","0.616","1","380","0.616","1","381","0.616"
"81","84K730","Summit Academy Charter School",NA,NA,NA,NA,NA,NA,NA,NA
"82","02M475","Stuyvesant High School","754","0.974","1","697","0.974","1","693","0.974"
"83","02M139","Stephen T. Mather Building Arts & Craftsmanship Hi",NA,NA,NA,NA,NA,NA,NA,NA
"84","31R605","Staten Island Technical High School","711","0.997","1","660","0.997","1","670","0.997"
"85","03M859","Special Music School",NA,NA,NA,NA,NA,NA,NA,NA
"86","07X221","South Bronx Preparatory: A College Board School","419","0.769","1","414","0.769","1","394","0.769"
"87","22K495","Sheepshead Bay High School","381","0.515","1","382","0.515","1","367","0.515"
"88","15K462","Secondary School for Law","420","0.747","1","424","0.747","1","414","0.747"
"89","15K463","Secondary School for Journalism","408","0.588","1","435","0.588","1","415","0.588"
"90","17K543","Science, Technology and Research Early College Hig","496","0.915","1","491","0.915","1","484","0.915"
"91","13K419","Science Skills Center High School for Science, Tec","399","0.659","1","397","0.659","1","386","0.659"
"92","08X348","Schuylerville Preparatory High School",NA,NA,NA,NA,NA,NA,NA,NA
"93","02M413","School of the Future High School","534","0.899","1","533","0.899","1","522","0.899"
"94","08X559","School for Tourism and Hospitality",NA,NA,NA,NA,NA,NA,NA,NA
"95","14K477","School for Legal Studies","393","0.348","1","390","0.348","1","394","0.348"
"96","15K497","School for International Studies","417","0.651","1","406","0.651","1","394","0.651"
"97","17K531","School for Human Rights, The","398","0.608","1","411","0.608","1","400","0.608"
"98","09X404","School for Excellence","377","0.384","1","385","0.384","1","383","0.384"
"99","17K533","School for Democracy and  Leadership","386","0.535","1","385","0.535","1","390","0.535"
"100","27Q323","Scholars' Academy","588","0.992","1","560","0.992","1","568","0.992"
"101","07X655","Samuel Gompers Career and Technical Education High",NA,"0.152","1",NA,"0.152","1",NA,"0.152"
"102","27Q324","Rockaway Park High School for Environmental Sustai","357","0.385","0","381","0.385","1","376","0.385"
"103","27Q351","Rockaway Collegiate High School","399","0.465","1","403","0.465","1","405","0.465"
"104","27Q308","Robert H. Goddard High School of Communication Art","426","0.851","1","435","0.851","1","424","0.851"
"105","24Q560","Robert F. Wagner, Jr. Secondary School for Arts an","478","0.711","1","445","0.711","1","445","0.711"
"106","25Q670","Robert F. Kennedy Community High School","460","0.673","1","426","0.673","1","423","0.673"
"107","10X141","Riverdale / Kingsbridge Academy (Middle School / H","496","0.694","1","485","0.694","1","476","0.694"
"108","27Q475","Richmond Hill High School","413","0.379","1","406","0.379","1","399","0.379"
"109","02M580","Richard R. Green High School of Teaching","411","0.6","1","415","0.6","1","409","0.6"
"110","02M531","Repertory Company High School for Theatre Arts","425","0.895","1","451","0.895","1","458","0.895"
"111","08X293","Renaissance High School for Musical Theater & Tech","390","0.523","1","411","0.523","1","393","0.523"
"112","84Q705","Renaissance Charter School","459","0.635","1","452","0.635","1","481","0.635"
"113","84M433","Renaissance Charter High School for Innovation","372","0.564","1","393","0.564","1","389","0.564"
"114","31R600","Ralph R. McKee Career and Technical Education High","420","0.38","1","429","0.38","1","409","0.38"
"115","21K344","Rachel Carson High School for Coastal Studies","436","0.684","1","430","0.684","1","421","0.684"
"116","02M422","Quest to Learn",NA,NA,NA,NA,NA,NA,NA,NA
"117","24Q600","Queens Vocational and Technical High School","467","0.534","1","436","0.534","1","432","0.534"
"118","25Q252","Queens School of Inquiry, The","516","0.882","1","493","0.882","1","486","0.882"
"119","29Q248","Queens Preparatory Academy","423","0.837","1","422","0.837","1","403","0.837"
"120","28Q686","QUEENS METROPOLITAN HIGH SCHOOL","460","0.764","1","448","0.764","1","449","0.764"
"121","26Q566","Queens High School of Teaching, Liberal Arts and t","453","0.724","1","434","0.724","1","439","0.724"
"122","28Q687","Queens High School for the Sciences at York Colleg","701","0.979","1","621","0.979","1","625","0.979"
"123","25Q241","Queens High School for Language Studies",NA,NA,NA,NA,NA,NA,NA,NA
"124","27Q302","Queens High School for Information, Research, and","372","0.446","1","362","0.446","1","352","0.446"
"125","28Q680","Queens Gateway to Health Sciences Secondary School","524","0.925","1","511","0.925","1","514","0.925"
"126","28Q310","Queens Collegiate: A College Board School","455","0.748","1","439","0.748","1","441","0.748"
"127","14K474","PROGRESS High School for Professional Careers","380","0.449","1","377","0.449","1","384","0.449"
"128","02M408","Professional Performing Arts High School","496","0.722","1","520","0.722","1","516","0.722"
"129","29Q283","Preparatory Academy for Writers: A College Board S","398","0.695","1","410","0.695","1","393","0.695"
"130","31R445","Port Richmond High School","432","0.446","1","427","0.446","1","425","0.446"
"131","19K507","Performing Arts and Technology High School","375","0.398","1","393","0.398","1","394","0.398"
"132","11X542","Pelham Preparatory Academy","420","0.77","1","433","0.77","1","425","0.77"
"133","08X320","Pelham Lab High School",NA,NA,NA,NA,NA,NA,NA,NA
"134","12X278","Peace and Diversity Academy","366","0.271","1","362","0.271","1","365","0.271"
"135","17K122","Pathways in Technology Early College High School (","446","0.694","1","442","0.694","1","410","0.694"
"136","29Q259","Pathways College Preparatory School: A College Boa","405","0.724","1","427","0.724","1","409","0.724"
"137","15K464","Park Slope Collegiate","405","0.596","1","377","0.596","1","395","0.596"
"138","04M495","Park East High School","429","0.896","1","433","0.896","1","435","0.896"
"139","12X388","Pan American International High School at Monroe","317","0.656","0","315","0.656","1","292","0.656"
"140","24Q296","Pan American International High School","340","0.319","1","320","0.319","0","318","0.319"
"141","02M298","Pace High School","430","0.878","1","435","0.878","1","427","0.878"
"142","08X305","Pablo Neruda Academy","394","0.442","1","384","0.442","1","383","0.442"
"143","22K611","Origins High School",NA,NA,NA,NA,NA,NA,NA,NA
"144","84K777","Ocean Hill Collegiate Charter School",NA,NA,NA,NA,NA,NA,NA,NA
"145","02M376","NYC iSchool","518","0.96","1","515","0.96","1","503","0.96"
"146","84X395","NYC Charter High School for Architecture, Engineer","376","0.853","1","397","0.853","1","380","0.853"
"147","84K693","Northside Charter High School","397","0.806","1","411","0.806","1","402","0.806"
"148","24Q455","Newtown High School","434","0.391","1","401","0.391","1","389","0.391"
"149","30Q555","Newcomers High School","490","0.471","1","374","0.471","1","381","0.471"
"150","11X513","New World High School","407","0.93","1","363","0.93","1","358","0.93"
"151","84X553","New Visions Charter High School for the Humanities","377","0.733","1","388","0.733","1","369","0.733"
"152","84X539","New Visions Charter High School for Advanced Math","419","0.914","1","412","0.914","1","416","0.914"
"153","20K445","New Utrecht High School","488","0.632","1","422","0.632","1","417","0.632"
"154","84M353","New Heights Academy Charter School","457","0.797","1","415","0.797","1","406","0.797"
"155","07X547","New Explorers High School","390","0.304","1","398","0.304","1","376","0.304"
"156","01M539","New Explorations into Science, Technology and Math","657","0.91","1","601","0.91","1","601","0.91"
"157","31R440","New Dorp High School","454","0.637","1","446","0.637","1","444","0.637"
"158","02M543","New Design High School","381","0.737","1","396","0.737","1","372","0.737"
"159","16K765","Nelson Mandela High School",NA,NA,NA,NA,NA,NA,NA,NA
"160","02M414","N.Y.C. Museum School","560","0.9","1","530","0.9","1","522","0.9"
"161","02M412","N.Y.C. Lab School for Collaborative Studies","595","0.798","1","550","0.798","1","555","0.798"
"162","02M520","Murry Bergtraum High School for Business Careers","418","0.443","1","415","0.443","1","398","0.443"
"163","19K583","Multicultural High School","319","0.286","0","323","0.286","0","284","0.286"
"164","07X473","Mott Haven Village Preparatory High School","377","0.449","1","373","0.449","1","369","0.449"
"165","12X242","Mott Hall V","430","0.775","1","422","0.775","1","414","0.775"
"166","05M304","Mott Hall High School","416","0.369","1","445","0.369","1","440","0.369"
"167","09X252","Mott Hall Bronx High School","417","0.462","1","399","0.462","1","398","0.462"
"168","09X297","Morris Academy for Collaborative Studies","407","0.448","1","389","0.448","1","386","0.448"
"169","12X692","Monroe Academy for Visual Arts & Design","361","0.468","1","354","0.468","1","351","0.468"
"170","02M418","Millennium High School","577","0.94","1","560","0.94","1","567","0.94"
"171","15K684","Millennium Brooklyn HS","553","0.796","1","551","0.796","1","539","0.796"
"172","08X312","Millennium Art Academy","396","0.392","1","413","0.392","1","395","0.392"
"173","22K405","Midwood High School","550","0.857","1","514","0.857","1","516","0.857"
"174","24Q520","Middle College High School at LaGuardia Community","377","0.487","1","389","0.487","1","377","0.487"
"175","12X248","Metropolitan High School, The","387","0.659","1","388","0.659","1","386","0.659"
"176","28Q167","Metropolitan Expeditionary Learning School",NA,NA,NA,NA,NA,NA,NA,NA
"177","17K590","Medgar Evers College Preparatory School","525","0.89","1","500","0.89","1","481","0.89"
"178","29Q492","Mathematics, Science Research and Technology Magne","380","0.549","1","418","0.549","1","388","0.549"
"179","84K733","Math, Engineering, and Science Academy Charter Hig",NA,NA,NA,NA,NA,NA,NA,NA
"180","24Q585","Maspeth High School","476","0.9","1","471","0.9","1","480","0.9"
"181","26Q435","Martin Van Buren High School","397","0.4","1","396","0.4","1","391","0.4"
"182","01M509","Marta Valle High School","438","0.356","1","413","0.356","1","394","0.356"
"183","10X477","Marble Hill High School for International Studies","451","0.929","1","417","0.929","1","423","0.929"
"184","02M439","Manhattan Village Academy","522","0.988","1","479","0.988","1","510","0.988"
"185","03M283","Manhattan Theatre Lab High School","362","0.5","1","376","0.5","1","385","0.5"
"186","02M459","Manhattan International High School","438","0.586","1","358","0.586","1","382","0.586"
"187","02M280","Manhattan Early College School for Advertising",NA,NA,NA,NA,NA,NA,NA,NA
"188","04M435","Manhattan Center for Science and Mathematics","556","0.876","1","505","0.876","1","495","0.876"
"189","02M392","MANHATTAN BUSINESS ACADEMY","410","0.697","1","407","0.697","1","399","0.697"
"190","02M542","Manhattan Bridges High School","409","0.844","1","360","0.844","1","347","0.844"
"191","02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE","350","0.461","1","334","0.461","1","321","0.461"
"192","03M541","Manhattan / Hunter Science High School","581","0.972","1","531","0.972","1","535","0.972"
"193","07X223","M.S. 223 The Laboratory School of Finance and Tech",NA,NA,NA,NA,NA,NA,NA,NA
"194","14K586","Lyons Community School","374","0.563","1","376","0.563","1","357","0.563"
"195","02M308","Lower Manhattan Arts Academy","418","0.651","1","428","0.651","1","415","0.651"
"196","30Q450","Long Island City High School","430","0.516","1","423","0.516","1","412","0.516"
"197","02M655","Life Sciences Secondary School","435","0.63","1","440","0.63","1","425","0.63"
"198","21K559","Life Academy High School for Film and Music","369","0.702","1","379","0.702","1","378","0.702"
"199","22K535","Leon M. Goldstein High School for the Sciences","563","0.94","1","534","0.94","1","543","0.94"
"200","02M429","Legacy School for Integrated Studies",NA,"0.65","0",NA,"0.65","1",NA,"0.65"
"201","09X276","Leadership Institute",NA,"0.235","0",NA,"0.235","1",NA,"0.235"
"202","02M425","Leadership and Public Service High School","390","0.549","1","396","0.549","1","392","0.549"
"203","29Q494","Law, Government and Community Service High School","387","0.446","1","386","0.446","1","388","0.446"
"204","02M419","Landmark High School","386","0.306","1","386","0.306","1","386","0.306"
"205","18K569","Kurt Hahn Expeditionary Learning School","378","0.726","1","394","0.726","1","388","0.726"
"206","10X374","Knowledge and Power Preparatory Academy Internatio","408","0.667","1","417","0.667","1","404","0.667"
"207","84M726","KIPP STAR College Prep Charter School","455","0.842","1","418","0.842","1","411","0.842"
"208","84M336","KIPP Infinity Charter School","489","0.889","1","441","0.889","1","432","0.889"
"209","84K357","KIPP AMP Charter School","452","0.826","1","411","0.826","1","418","0.826"
"210","84X704","KIPP Academy Charter School","516","0.933","1","466","0.933","1","473","0.933"
"211","10X268","Kingsbridge International High School","366","0.507","1","311","0.507","1","310","0.507"
"212","21K468","Kingsborough Early College School","474","0.658","1","462","0.658","1","449","0.658"
"213","84K608","Kings Collegiate Charter School",NA,"0","0",NA,"0","0",NA,"0"
"214","15K592","Khalil Gibran International Academy",NA,NA,NA,NA,NA,NA,NA,NA
"215","14K071","Juan Morel Campos Secondary School","366","0.563","1","356","0.563","1","353","0.563"
"216","09X414","Jonathan Levin High School for Media and Communica","347","0.36","1","344","0.36","1","330","0.36"
"217","84R067","John W. Lavelle Preparatory Charter School",NA,NA,NA,NA,NA,NA,NA,NA
"218","21K540","John Dewey High School","512","0.627","1","418","0.627","1","396","0.627"
"219","25Q425","John Bowne High School","467","0.621","1","422","0.621","1","425","0.621"
"220","27Q480","John Adams High School","418","0.384","1","401","0.384","1","395","0.384"
"221","08X650","Jane Addams High School for Academic Careers","342","0.42","1","360","0.42","1","354","0.42"
"222","22K425","James Madison High School","492","0.69","1","450","0.69","1","444","0.69"
"223","28Q350","Jamaica Gateway to the Sciences","487","0.786","1","460","0.786","1","463","0.786"
"224","02M529","Jacqueline Kennedy Onassis High School","418","0.538","1","422","0.538","1","415","0.538"
"225","28Q157","J.H.S. 157 Stephen A. Halsey",NA,NA,NA,NA,NA,NA,NA,NA
"226","18K563","It Takes a Village Academy","364","0.622","1","374","0.622","1","361","0.622"
"227","06M211","Inwood Early College for Health and Information Te",NA,NA,NA,NA,NA,NA,NA,NA
"228","10X342","International School for Liberal Arts","390","0.192","1","387","0.192","1","379","0.192"
"229","84X347","International Leadership Charter High School","413","0.983","1","421","0.983","1","435","0.983"
"230","24Q236","International High School for Health Sciences",NA,NA,NA,NA,NA,NA,NA,NA
"231","02M438","International High School at Union Square","403","0.532","1","330","0.532","1","316","0.532"
"232","17K524","International High School at Prospect Heights","344","0.817","1","302","0.817","0","300","0.817"
"233","24Q530","International High School at LaGuardia Community C","425","0.717","1","367","0.717","1","365","0.717"
"234","21K337","International High School at Lafayette","424","0.843","1","343","0.843","1","337","0.843"
"235","07X334","International Community High School","345","0.582","1","338","0.582","1","312","0.582"
"236","17K544","International Arts Business School",NA,"0.556","1",NA,"0.556","1",NA,"0.556"
"237","10X368","In-Tech Academy (M.S. / High School 368)","426","0.859","1","419","0.859","1","404","0.859"
"238","29Q243","Institute for Health Professions at Cambria Height",NA,NA,NA,NA,NA,NA,NA,NA
"239","02M407","Institute for Collaborative Education","501","0.786","1","550","0.786","1","541","0.786"
"240","30Q502","Information Technology High School","443","0.588","1","420","0.588","1","411","0.588"
"241","84X345","Hyde Leadership Charter School","428","0.841","1","424","0.841","1","422","0.841"
"242","29Q498","Humanities & Arts Magnet High School","384","0.602","1","409","0.602","1","401","0.602"
"243","02M437","Hudson High School of Learning Technologies","378","0.718","1","407","0.718","1","388","0.718"
